[INFO 2017-06-15 15:14:25,739 main.py:112] Namespace(batch_size=32, display=False, image_size=11, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=5, save_dir='./model', test=False, test_epoch=100, test_interval=100, train=True, train_epoch=10000)
[INFO 2017-06-15 15:14:29,081 main.py:103] epoch 0, training loss: 29718.16, average training loss: 29718.16
[INFO 2017-06-15 15:14:30,294 main.py:103] epoch 1, training loss: 25106.96, average training loss: 27412.56
[INFO 2017-06-15 15:14:31,488 main.py:103] epoch 2, training loss: 23002.39, average training loss: 25942.50
[INFO 2017-06-15 15:14:32,650 main.py:103] epoch 3, training loss: 20056.62, average training loss: 24471.03
[INFO 2017-06-15 15:14:33,826 main.py:103] epoch 4, training loss: 18786.32, average training loss: 23334.09
[INFO 2017-06-15 15:14:34,989 main.py:103] epoch 5, training loss: 16947.80, average training loss: 22269.71
[INFO 2017-06-15 15:14:36,149 main.py:103] epoch 6, training loss: 15262.18, average training loss: 21268.63
[INFO 2017-06-15 15:14:37,319 main.py:103] epoch 7, training loss: 15136.96, average training loss: 20502.17
[INFO 2017-06-15 15:14:38,493 main.py:103] epoch 8, training loss: 14239.05, average training loss: 19806.27
[INFO 2017-06-15 15:14:39,659 main.py:103] epoch 9, training loss: 13795.29, average training loss: 19205.17
[INFO 2017-06-15 15:14:40,841 main.py:103] epoch 10, training loss: 12179.21, average training loss: 18566.45
[INFO 2017-06-15 15:14:42,008 main.py:103] epoch 11, training loss: 12594.71, average training loss: 18068.81
[INFO 2017-06-15 15:14:43,176 main.py:103] epoch 12, training loss: 12230.34, average training loss: 17619.69
[INFO 2017-06-15 15:14:44,354 main.py:103] epoch 13, training loss: 11697.70, average training loss: 17196.69
[INFO 2017-06-15 15:14:45,520 main.py:103] epoch 14, training loss: 11461.04, average training loss: 16814.32
[INFO 2017-06-15 15:14:46,694 main.py:103] epoch 15, training loss: 10104.75, average training loss: 16394.97
[INFO 2017-06-15 15:14:47,864 main.py:103] epoch 16, training loss: 9622.18, average training loss: 15996.57
[INFO 2017-06-15 15:14:49,031 main.py:103] epoch 17, training loss: 9455.06, average training loss: 15633.15
[INFO 2017-06-15 15:14:50,274 main.py:103] epoch 18, training loss: 10019.70, average training loss: 15337.71
[INFO 2017-06-15 15:14:51,741 main.py:103] epoch 19, training loss: 9702.61, average training loss: 15055.95
[INFO 2017-06-15 15:14:53,237 main.py:103] epoch 20, training loss: 10561.66, average training loss: 14841.94
[INFO 2017-06-15 15:14:54,732 main.py:103] epoch 21, training loss: 10119.04, average training loss: 14627.26
[INFO 2017-06-15 15:14:56,228 main.py:103] epoch 22, training loss: 8894.72, average training loss: 14378.02
[INFO 2017-06-15 15:14:57,724 main.py:103] epoch 23, training loss: 9520.01, average training loss: 14175.60
[INFO 2017-06-15 15:14:59,221 main.py:103] epoch 24, training loss: 9077.53, average training loss: 13971.68
[INFO 2017-06-15 15:15:00,717 main.py:103] epoch 25, training loss: 8988.94, average training loss: 13780.04
[INFO 2017-06-15 15:15:02,213 main.py:103] epoch 26, training loss: 8460.76, average training loss: 13583.03
[INFO 2017-06-15 15:15:03,709 main.py:103] epoch 27, training loss: 8955.14, average training loss: 13417.74
[INFO 2017-06-15 15:15:05,205 main.py:103] epoch 28, training loss: 8467.33, average training loss: 13247.04
[INFO 2017-06-15 15:15:06,702 main.py:103] epoch 29, training loss: 7882.00, average training loss: 13068.21
[INFO 2017-06-15 15:15:08,199 main.py:103] epoch 30, training loss: 8433.38, average training loss: 12918.70
