[INFO 2017-06-26 17:28:01,087 main.py:123] Namespace(batch_size=32, display=False, image_size=64, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=2, num_channel=3, num_inputs=2, save_dir='./model', test=False, test_dir='/home/yi/Downloads/robot-64', test_epoch=10, test_interval=100, train=True, train_dir='/home/yi/Downloads/robot-64', train_epoch=10000)
[INFO 2017-06-26 17:28:05,917 main.py:47] epoch 0, training loss: 107752.03, average training loss: 107752.03, base loss: 8960.31
[INFO 2017-06-26 17:28:06,298 main.py:47] epoch 1, training loss: 86278.96, average training loss: 97015.50, base loss: 8723.18
[INFO 2017-06-26 17:28:06,611 main.py:47] epoch 2, training loss: 72261.66, average training loss: 88764.22, base loss: 8373.82
[INFO 2017-06-26 17:28:06,900 main.py:47] epoch 3, training loss: 64219.04, average training loss: 82627.92, base loss: 8356.74
[INFO 2017-06-26 17:28:07,188 main.py:47] epoch 4, training loss: 56086.97, average training loss: 77319.73, base loss: 8490.55
[INFO 2017-06-26 17:28:07,472 main.py:47] epoch 5, training loss: 49518.86, average training loss: 72686.25, base loss: 8434.89
[INFO 2017-06-26 17:28:07,756 main.py:47] epoch 6, training loss: 41383.78, average training loss: 68214.47, base loss: 8381.22
[INFO 2017-06-26 17:28:08,041 main.py:47] epoch 7, training loss: 36818.66, average training loss: 64289.99, base loss: 8369.61
[INFO 2017-06-26 17:28:08,324 main.py:47] epoch 8, training loss: 33602.28, average training loss: 60880.25, base loss: 8372.76
[INFO 2017-06-26 17:28:08,609 main.py:47] epoch 9, training loss: 28351.83, average training loss: 57627.41, base loss: 8438.93
[INFO 2017-06-26 17:28:08,894 main.py:47] epoch 10, training loss: 24827.59, average training loss: 54645.61, base loss: 8413.54
[INFO 2017-06-26 17:28:09,179 main.py:47] epoch 11, training loss: 21735.71, average training loss: 51903.11, base loss: 8373.28
[INFO 2017-06-26 17:28:09,463 main.py:47] epoch 12, training loss: 19661.10, average training loss: 49422.96, base loss: 8352.59
[INFO 2017-06-26 17:28:09,751 main.py:47] epoch 13, training loss: 18197.08, average training loss: 47192.54, base loss: 8406.01
[INFO 2017-06-26 17:28:10,037 main.py:47] epoch 14, training loss: 16231.25, average training loss: 45128.45, base loss: 8426.97
[INFO 2017-06-26 17:28:10,323 main.py:47] epoch 15, training loss: 14031.81, average training loss: 43184.91, base loss: 8380.40
[INFO 2017-06-26 17:28:10,642 main.py:47] epoch 16, training loss: 13349.19, average training loss: 41429.87, base loss: 8393.21
[INFO 2017-06-26 17:28:10,933 main.py:47] epoch 17, training loss: 12816.81, average training loss: 39840.26, base loss: 8423.74
[INFO 2017-06-26 17:28:11,226 main.py:47] epoch 18, training loss: 10663.12, average training loss: 38304.62, base loss: 8365.23
[INFO 2017-06-26 17:28:11,516 main.py:47] epoch 19, training loss: 11707.59, average training loss: 36974.77, base loss: 8398.50
[INFO 2017-06-26 17:28:11,803 main.py:47] epoch 20, training loss: 9930.29, average training loss: 35686.93, base loss: 8362.19
[INFO 2017-06-26 17:28:12,085 main.py:47] epoch 21, training loss: 11579.72, average training loss: 34591.15, base loss: 8435.43
[INFO 2017-06-26 17:28:12,370 main.py:47] epoch 22, training loss: 9102.07, average training loss: 33482.93, base loss: 8408.13
[INFO 2017-06-26 17:28:12,658 main.py:47] epoch 23, training loss: 9911.69, average training loss: 32500.80, base loss: 8430.15
[INFO 2017-06-26 17:28:12,941 main.py:47] epoch 24, training loss: 8886.33, average training loss: 31556.22, base loss: 8416.02
[INFO 2017-06-26 17:28:13,224 main.py:47] epoch 25, training loss: 8786.18, average training loss: 30680.45, base loss: 8406.63
[INFO 2017-06-26 17:28:13,508 main.py:47] epoch 26, training loss: 8562.45, average training loss: 29861.26, base loss: 8392.42
[INFO 2017-06-26 17:28:13,793 main.py:47] epoch 27, training loss: 9608.00, average training loss: 29137.93, base loss: 8421.77
[INFO 2017-06-26 17:28:14,077 main.py:47] epoch 28, training loss: 9364.09, average training loss: 28456.07, base loss: 8443.40
[INFO 2017-06-26 17:28:14,366 main.py:47] epoch 29, training loss: 7584.36, average training loss: 27760.35, base loss: 8403.50
[INFO 2017-06-26 17:28:14,657 main.py:47] epoch 30, training loss: 10119.17, average training loss: 27191.28, base loss: 8458.19
[INFO 2017-06-26 17:28:14,950 main.py:47] epoch 31, training loss: 9426.43, average training loss: 26636.13, base loss: 8484.82
[INFO 2017-06-26 17:28:15,251 main.py:47] epoch 32, training loss: 8465.63, average training loss: 26085.51, base loss: 8478.23
[INFO 2017-06-26 17:28:15,564 main.py:47] epoch 33, training loss: 8669.71, average training loss: 25573.28, base loss: 8481.75
[INFO 2017-06-26 17:28:15,908 main.py:47] epoch 34, training loss: 8503.18, average training loss: 25085.56, base loss: 8480.94
[INFO 2017-06-26 17:28:16,263 main.py:47] epoch 35, training loss: 7370.17, average training loss: 24593.47, base loss: 8446.96
[INFO 2017-06-26 17:28:16,625 main.py:47] epoch 36, training loss: 8347.90, average training loss: 24154.40, base loss: 8443.31
[INFO 2017-06-26 17:28:16,981 main.py:47] epoch 37, training loss: 8716.29, average training loss: 23748.13, base loss: 8451.24
[INFO 2017-06-26 17:28:17,335 main.py:47] epoch 38, training loss: 8373.63, average training loss: 23353.91, base loss: 8449.09
[INFO 2017-06-26 17:28:17,689 main.py:47] epoch 39, training loss: 8300.83, average training loss: 22977.59, base loss: 8443.53
[INFO 2017-06-26 17:28:18,044 main.py:47] epoch 40, training loss: 8605.09, average training loss: 22627.04, base loss: 8446.88
[INFO 2017-06-26 17:28:18,399 main.py:47] epoch 41, training loss: 7900.36, average training loss: 22276.40, base loss: 8433.02
[INFO 2017-06-26 17:28:18,753 main.py:47] epoch 42, training loss: 9658.37, average training loss: 21982.96, base loss: 8463.89
[INFO 2017-06-26 17:28:19,105 main.py:47] epoch 43, training loss: 9011.46, average training loss: 21688.15, base loss: 8480.03
[INFO 2017-06-26 17:28:19,460 main.py:47] epoch 44, training loss: 10064.85, average training loss: 21429.86, base loss: 8517.74
[INFO 2017-06-26 17:28:19,814 main.py:47] epoch 45, training loss: 7843.72, average training loss: 21134.51, base loss: 8505.13
[INFO 2017-06-26 17:28:20,171 main.py:47] epoch 46, training loss: 8667.43, average training loss: 20869.25, base loss: 8508.51
[INFO 2017-06-26 17:28:20,524 main.py:47] epoch 47, training loss: 8442.47, average training loss: 20610.36, base loss: 8510.80
[INFO 2017-06-26 17:28:20,891 main.py:47] epoch 48, training loss: 9737.39, average training loss: 20388.46, base loss: 8540.11
[INFO 2017-06-26 17:28:21,245 main.py:47] epoch 49, training loss: 8536.72, average training loss: 20151.43, base loss: 8542.29
[INFO 2017-06-26 17:28:21,600 main.py:47] epoch 50, training loss: 8503.47, average training loss: 19923.03, base loss: 8542.00
[INFO 2017-06-26 17:28:21,953 main.py:47] epoch 51, training loss: 8708.24, average training loss: 19707.37, base loss: 8547.67
[INFO 2017-06-26 17:28:22,308 main.py:47] epoch 52, training loss: 9391.87, average training loss: 19512.73, base loss: 8569.38
[INFO 2017-06-26 17:28:22,662 main.py:47] epoch 53, training loss: 8724.47, average training loss: 19312.95, base loss: 8574.39
[INFO 2017-06-26 17:28:23,016 main.py:47] epoch 54, training loss: 7303.82, average training loss: 19094.60, base loss: 8552.22
[INFO 2017-06-26 17:28:23,370 main.py:47] epoch 55, training loss: 9173.03, average training loss: 18917.43, base loss: 8568.58
[INFO 2017-06-26 17:28:23,725 main.py:47] epoch 56, training loss: 8331.02, average training loss: 18731.71, base loss: 8565.97
[INFO 2017-06-26 17:28:24,079 main.py:47] epoch 57, training loss: 8017.65, average training loss: 18546.98, base loss: 8559.29
[INFO 2017-06-26 17:28:24,435 main.py:47] epoch 58, training loss: 8971.36, average training loss: 18384.68, base loss: 8570.87
[INFO 2017-06-26 17:28:24,789 main.py:47] epoch 59, training loss: 7984.48, average training loss: 18211.35, base loss: 8563.78
[INFO 2017-06-26 17:28:25,145 main.py:47] epoch 60, training loss: 8919.83, average training loss: 18059.03, base loss: 8572.99
[INFO 2017-06-26 17:28:25,499 main.py:47] epoch 61, training loss: 8125.72, average training loss: 17898.81, base loss: 8570.00
[INFO 2017-06-26 17:28:25,854 main.py:47] epoch 62, training loss: 8353.21, average training loss: 17747.29, base loss: 8570.33
[INFO 2017-06-26 17:28:26,215 main.py:47] epoch 63, training loss: 7483.35, average training loss: 17586.92, base loss: 8553.94
[INFO 2017-06-26 17:28:26,570 main.py:47] epoch 64, training loss: 7995.42, average training loss: 17439.36, base loss: 8548.24
[INFO 2017-06-26 17:28:26,928 main.py:47] epoch 65, training loss: 6701.00, average training loss: 17276.66, base loss: 8522.01
[INFO 2017-06-26 17:28:27,282 main.py:47] epoch 66, training loss: 8415.78, average training loss: 17144.40, base loss: 8523.99
