[INFO 2017-06-15 00:18:35,564 main.py:112] Namespace(batch_size=32, display=False, image_size=11, init_model_path='', learning_rate=0.01, method='unsupervised', motion_range=1, save_dir='./model', test=False, test_epoch=10, test_interval=100, train=True, train_epoch=10000)
[INFO 2017-06-15 00:18:41,542 main.py:103] epoch 0, training loss: 7244.17, average training loss: 7244.17
[INFO 2017-06-15 00:18:45,290 main.py:103] epoch 1, training loss: 4379.47, average training loss: 5811.82
[INFO 2017-06-15 00:18:48,929 main.py:103] epoch 2, training loss: 4615.09, average training loss: 5412.91
[INFO 2017-06-15 00:18:52,356 main.py:103] epoch 3, training loss: 4849.46, average training loss: 5272.05
[INFO 2017-06-15 00:18:56,155 main.py:103] epoch 4, training loss: 4410.43, average training loss: 5099.72
[INFO 2017-06-15 00:19:00,153 main.py:103] epoch 5, training loss: 4614.38, average training loss: 5018.83
[INFO 2017-06-15 00:19:04,044 main.py:103] epoch 6, training loss: 4618.97, average training loss: 4961.71
[INFO 2017-06-15 00:19:07,971 main.py:103] epoch 7, training loss: 4685.76, average training loss: 4927.22
[INFO 2017-06-15 00:19:11,898 main.py:103] epoch 8, training loss: 3962.18, average training loss: 4819.99
[INFO 2017-06-15 00:19:15,806 main.py:103] epoch 9, training loss: 4381.23, average training loss: 4776.11
[INFO 2017-06-15 00:19:19,721 main.py:103] epoch 10, training loss: 4576.94, average training loss: 4758.01
[INFO 2017-06-15 00:19:23,519 main.py:103] epoch 11, training loss: 4289.56, average training loss: 4718.97
[INFO 2017-06-15 00:19:27,470 main.py:103] epoch 12, training loss: 4718.73, average training loss: 4718.95
[INFO 2017-06-15 00:19:31,385 main.py:103] epoch 13, training loss: 4299.24, average training loss: 4688.97
[INFO 2017-06-15 00:19:35,134 main.py:103] epoch 14, training loss: 4416.44, average training loss: 4670.80
[INFO 2017-06-15 00:19:38,912 main.py:103] epoch 15, training loss: 4422.14, average training loss: 4655.26
[INFO 2017-06-15 00:19:42,886 main.py:103] epoch 16, training loss: 4470.33, average training loss: 4644.38
[INFO 2017-06-15 00:19:46,783 main.py:103] epoch 17, training loss: 4246.80, average training loss: 4622.30
[INFO 2017-06-15 00:19:50,700 main.py:103] epoch 18, training loss: 4787.94, average training loss: 4631.01
[INFO 2017-06-15 00:19:54,367 main.py:103] epoch 19, training loss: 4544.81, average training loss: 4626.70
[INFO 2017-06-15 00:19:58,289 main.py:103] epoch 20, training loss: 4493.54, average training loss: 4620.36
[INFO 2017-06-15 00:20:02,080 main.py:103] epoch 21, training loss: 4317.86, average training loss: 4606.61
[INFO 2017-06-15 00:20:05,731 main.py:103] epoch 22, training loss: 4363.97, average training loss: 4596.06
[INFO 2017-06-15 00:20:09,383 main.py:103] epoch 23, training loss: 4644.30, average training loss: 4598.07
[INFO 2017-06-15 00:20:12,791 main.py:103] epoch 24, training loss: 4610.40, average training loss: 4598.57
[INFO 2017-06-15 00:20:16,290 main.py:103] epoch 25, training loss: 4699.07, average training loss: 4602.43
[INFO 2017-06-15 00:20:19,993 main.py:103] epoch 26, training loss: 4659.92, average training loss: 4604.56
[INFO 2017-06-15 00:20:23,629 main.py:103] epoch 27, training loss: 4522.12, average training loss: 4601.62
[INFO 2017-06-15 00:20:27,520 main.py:103] epoch 28, training loss: 4460.42, average training loss: 4596.75
[INFO 2017-06-15 00:20:31,123 main.py:103] epoch 29, training loss: 4782.03, average training loss: 4602.92
[INFO 2017-06-15 00:20:34,942 main.py:103] epoch 30, training loss: 4641.36, average training loss: 4604.16
[INFO 2017-06-15 00:20:38,678 main.py:103] epoch 31, training loss: 4771.96, average training loss: 4609.41
[INFO 2017-06-15 00:20:42,584 main.py:103] epoch 32, training loss: 4655.46, average training loss: 4610.80
[INFO 2017-06-15 00:20:46,209 main.py:103] epoch 33, training loss: 4777.94, average training loss: 4615.72
[INFO 2017-06-15 00:20:49,913 main.py:103] epoch 34, training loss: 4142.37, average training loss: 4602.19
[INFO 2017-06-15 00:20:53,904 main.py:103] epoch 35, training loss: 4358.39, average training loss: 4595.42
[INFO 2017-06-15 00:20:57,472 main.py:103] epoch 36, training loss: 5113.05, average training loss: 4609.41
[INFO 2017-06-15 00:21:01,129 main.py:103] epoch 37, training loss: 4430.28, average training loss: 4604.70
[INFO 2017-06-15 00:21:04,552 main.py:103] epoch 38, training loss: 4719.24, average training loss: 4607.63
[INFO 2017-06-15 00:21:08,011 main.py:103] epoch 39, training loss: 4570.89, average training loss: 4606.72
