[INFO 2017-06-25 14:26:40,000 main.py:167] Namespace(batch_size=64, display=False, image_dir='/home/yi/Downloads/mpii-240-2', image_size=64, init_model_path='', input_video_path='video', learning_rate=0.001, method='unsupervised', motion_range=5, num_channel=3, num_inputs=4, output_flow_path='flow', output_flow_video_path='flow_video', save_dir='./model', test=False, test_epoch=100, test_interval=1000, test_video=False, train=True, train_epoch=100000)
[INFO 2017-06-25 14:26:45,380 main.py:50] epoch 0, training loss: 199294.56, average training loss: 199294.56, base loss: 25079.97
[INFO 2017-06-25 14:26:48,708 main.py:50] epoch 1, training loss: 179415.58, average training loss: 189355.07, base loss: 27222.74
[INFO 2017-06-25 14:26:52,045 main.py:50] epoch 2, training loss: 154133.64, average training loss: 177614.59, base loss: 27061.29
[INFO 2017-06-25 14:26:55,357 main.py:50] epoch 3, training loss: 125004.10, average training loss: 164461.97, base loss: 26599.01
[INFO 2017-06-25 14:26:58,683 main.py:50] epoch 4, training loss: 112779.62, average training loss: 154125.50, base loss: 26263.42
[INFO 2017-06-25 14:27:02,030 main.py:50] epoch 5, training loss: 88943.97, average training loss: 143261.91, base loss: 26158.04
[INFO 2017-06-25 14:27:05,385 main.py:50] epoch 6, training loss: 88541.60, average training loss: 135444.72, base loss: 25286.71
[INFO 2017-06-25 14:27:08,833 main.py:50] epoch 7, training loss: 76008.73, average training loss: 128015.23, base loss: 25177.34
[INFO 2017-06-25 14:27:12,764 main.py:50] epoch 8, training loss: 60404.62, average training loss: 120502.94, base loss: 24631.50
[INFO 2017-06-25 14:27:17,013 main.py:50] epoch 9, training loss: 59766.34, average training loss: 114429.28, base loss: 24824.87
[INFO 2017-06-25 14:27:21,290 main.py:50] epoch 10, training loss: 57009.25, average training loss: 109209.27, base loss: 24727.65
[INFO 2017-06-25 14:27:25,532 main.py:50] epoch 11, training loss: 54480.79, average training loss: 104648.57, base loss: 24756.02
[INFO 2017-06-25 14:27:29,785 main.py:50] epoch 12, training loss: 51976.80, average training loss: 100596.89, base loss: 24726.26
[INFO 2017-06-25 14:27:34,079 main.py:50] epoch 13, training loss: 44518.89, average training loss: 96591.32, base loss: 24660.76
[INFO 2017-06-25 14:27:38,370 main.py:50] epoch 14, training loss: 39683.94, average training loss: 92797.50, base loss: 24339.50
