[INFO 2017-06-26 15:45:00,527 main.py:170] Namespace(batch_size=64, display=False, image_size=64, init_model_path='', input_video_path='video', learning_rate=0.001, method='unsupervised', motion_range=2, num_channel=3, num_inputs=1, output_flow_path='flow', output_flow_video_path='flow_video', save_dir='./model', test=False, test_dir='./mpii-64-few-2', test_epoch=10, test_interval=100, test_video=False, train=True, train_dir='./mpii-64-few', train_epoch=10000)
[INFO 2017-06-26 15:45:02,810 main.py:50] epoch 0, training loss: 168474.33, average training loss: 168474.33, base loss: 27457.77
[INFO 2017-06-26 15:45:03,342 main.py:50] epoch 1, training loss: 133785.73, average training loss: 151130.03, base loss: 27798.00
[INFO 2017-06-26 15:45:03,878 main.py:50] epoch 2, training loss: 116502.28, average training loss: 139587.45, base loss: 27613.34
[INFO 2017-06-26 15:45:04,410 main.py:50] epoch 3, training loss: 97743.51, average training loss: 129126.46, base loss: 27859.73
[INFO 2017-06-26 15:45:04,941 main.py:50] epoch 4, training loss: 89017.49, average training loss: 121104.67, base loss: 27861.26
[INFO 2017-06-26 15:45:05,473 main.py:50] epoch 5, training loss: 81266.24, average training loss: 114464.93, base loss: 28237.01
[INFO 2017-06-26 15:45:06,005 main.py:50] epoch 6, training loss: 73653.52, average training loss: 108634.73, base loss: 28136.03
[INFO 2017-06-26 15:45:06,535 main.py:50] epoch 7, training loss: 64655.50, average training loss: 103137.33, base loss: 27892.19
[INFO 2017-06-26 15:45:07,067 main.py:50] epoch 8, training loss: 59968.54, average training loss: 98340.79, base loss: 28315.51
[INFO 2017-06-26 15:45:07,603 main.py:50] epoch 9, training loss: 52451.59, average training loss: 93751.87, base loss: 28078.77
[INFO 2017-06-26 15:45:08,133 main.py:50] epoch 10, training loss: 48260.00, average training loss: 89616.25, base loss: 28131.67
[INFO 2017-06-26 15:45:08,688 main.py:50] epoch 11, training loss: 45401.59, average training loss: 85931.69, base loss: 28001.48
[INFO 2017-06-26 15:45:09,223 main.py:50] epoch 12, training loss: 41075.16, average training loss: 82481.19, base loss: 27851.01
[INFO 2017-06-26 15:45:09,760 main.py:50] epoch 13, training loss: 38167.90, average training loss: 79315.96, base loss: 27737.11
[INFO 2017-06-26 15:45:10,295 main.py:50] epoch 14, training loss: 37505.29, average training loss: 76528.58, base loss: 27705.92
[INFO 2017-06-26 15:45:10,830 main.py:50] epoch 15, training loss: 35798.51, average training loss: 73982.95, base loss: 27733.42
