[INFO 2017-06-26 11:39:06,230 main.py:170] Namespace(batch_size=64, display=False, image_dir='/home/yi/Downloads/mpii-64-few', image_size=64, init_model_path='', input_video_path='video', learning_rate=0.001, method='unsupervised', motion_range=2, num_channel=3, num_inputs=3, output_flow_path='flow', output_flow_video_path='flow_video', save_dir='./model', test=False, test_epoch=100, test_interval=1000, test_video=False, train=True, train_epoch=10000)
[INFO 2017-06-26 11:39:08,605 main.py:50] epoch 0, training loss: 218350.06, average training loss: 218350.06, base loss: 27975.11
[INFO 2017-06-26 11:39:09,187 main.py:50] epoch 1, training loss: 180884.31, average training loss: 199617.19, base loss: 28010.21
[INFO 2017-06-26 11:39:09,797 main.py:50] epoch 2, training loss: 145437.14, average training loss: 181557.17, base loss: 27188.05
[INFO 2017-06-26 11:39:10,385 main.py:50] epoch 3, training loss: 120011.16, average training loss: 166170.67, base loss: 26573.47
[INFO 2017-06-26 11:39:10,969 main.py:50] epoch 4, training loss: 105887.92, average training loss: 154114.12, base loss: 26011.53
[INFO 2017-06-26 11:39:11,550 main.py:50] epoch 5, training loss: 94074.13, average training loss: 144107.46, base loss: 25672.60
[INFO 2017-06-26 11:39:12,131 main.py:50] epoch 6, training loss: 82593.48, average training loss: 135319.75, base loss: 25531.05
[INFO 2017-06-26 11:39:12,714 main.py:50] epoch 7, training loss: 73477.59, average training loss: 127589.48, base loss: 25314.11
[INFO 2017-06-26 11:39:13,301 main.py:50] epoch 8, training loss: 65707.32, average training loss: 120713.68, base loss: 25599.21
[INFO 2017-06-26 11:39:13,883 main.py:50] epoch 9, training loss: 56639.16, average training loss: 114306.23, base loss: 25426.55
[INFO 2017-06-26 11:39:14,464 main.py:50] epoch 10, training loss: 50483.19, average training loss: 108504.13, base loss: 25357.99
[INFO 2017-06-26 11:39:15,062 main.py:50] epoch 11, training loss: 46301.05, average training loss: 103320.54, base loss: 25420.34
[INFO 2017-06-26 11:39:15,640 main.py:50] epoch 12, training loss: 43528.07, average training loss: 98721.12, base loss: 25456.15
[INFO 2017-06-26 11:39:16,224 main.py:50] epoch 13, training loss: 38126.95, average training loss: 94392.97, base loss: 25407.41
[INFO 2017-06-26 11:39:16,808 main.py:50] epoch 14, training loss: 35577.45, average training loss: 90471.93, base loss: 25375.80
[INFO 2017-06-26 11:39:17,389 main.py:50] epoch 15, training loss: 35897.83, average training loss: 87061.05, base loss: 25511.20
[INFO 2017-06-26 11:39:17,967 main.py:50] epoch 16, training loss: 30826.71, average training loss: 83753.15, base loss: 25408.59
[INFO 2017-06-26 11:39:18,546 main.py:50] epoch 17, training loss: 30696.17, average training loss: 80805.54, base loss: 25390.35
