[INFO 2017-06-26 15:11:17,955 main.py:170] Namespace(batch_size=32, display=False, image_dir='/home/yi/Downloads/mpii-64-one-2', image_size=64, init_model_path='', input_video_path='video', learning_rate=0.001, method='unsupervised', motion_range=6, num_channel=3, num_inputs=1, output_flow_path='flow', output_flow_video_path='flow_video', save_dir='./model', test=False, test_epoch=10, test_interval=100, test_video=False, train=True, train_epoch=10000)
[INFO 2017-06-26 15:11:21,907 main.py:50] epoch 0, training loss: 154693.98, average training loss: 154693.98, base loss: 10809.32
[INFO 2017-06-26 15:11:24,017 main.py:50] epoch 1, training loss: 129241.60, average training loss: 141967.79, base loss: 10564.08
[INFO 2017-06-26 15:11:26,120 main.py:50] epoch 2, training loss: 111671.73, average training loss: 131869.11, base loss: 10557.55
[INFO 2017-06-26 15:11:28,713 main.py:50] epoch 3, training loss: 97673.30, average training loss: 123320.15, base loss: 10545.39
[INFO 2017-06-26 15:11:31,580 main.py:50] epoch 4, training loss: 85244.70, average training loss: 115705.06, base loss: 10576.73
[INFO 2017-06-26 15:11:34,431 main.py:50] epoch 5, training loss: 74603.37, average training loss: 108854.78, base loss: 10521.22
[INFO 2017-06-26 15:11:37,295 main.py:50] epoch 6, training loss: 64705.55, average training loss: 102547.75, base loss: 10527.78
[INFO 2017-06-26 15:11:40,156 main.py:50] epoch 7, training loss: 56602.82, average training loss: 96804.63, base loss: 10554.59
[INFO 2017-06-26 15:11:43,003 main.py:50] epoch 8, training loss: 49699.57, average training loss: 91570.74, base loss: 10585.65
[INFO 2017-06-26 15:11:45,859 main.py:50] epoch 9, training loss: 43871.62, average training loss: 86800.83, base loss: 10651.36
[INFO 2017-06-26 15:11:48,740 main.py:50] epoch 10, training loss: 38528.08, average training loss: 82412.39, base loss: 10652.77
[INFO 2017-06-26 15:11:51,591 main.py:50] epoch 11, training loss: 34475.64, average training loss: 78417.66, base loss: 10610.29
[INFO 2017-06-26 15:11:54,484 main.py:50] epoch 12, training loss: 31635.61, average training loss: 74819.04, base loss: 10654.73
[INFO 2017-06-26 15:11:57,335 main.py:50] epoch 13, training loss: 28964.98, average training loss: 71543.75, base loss: 10657.62
[INFO 2017-06-26 15:12:00,188 main.py:50] epoch 14, training loss: 26370.22, average training loss: 68532.19, base loss: 10670.54
[INFO 2017-06-26 15:12:03,095 main.py:50] epoch 15, training loss: 23682.80, average training loss: 65729.10, base loss: 10632.56
[INFO 2017-06-26 15:12:05,970 main.py:50] epoch 16, training loss: 22242.23, average training loss: 63171.05, base loss: 10651.06
[INFO 2017-06-26 15:12:08,830 main.py:50] epoch 17, training loss: 21280.27, average training loss: 60843.78, base loss: 10669.92
[INFO 2017-06-26 15:12:11,701 main.py:50] epoch 18, training loss: 20135.09, average training loss: 58701.22, base loss: 10706.42
[INFO 2017-06-26 15:12:14,558 main.py:50] epoch 19, training loss: 18373.01, average training loss: 56684.81, base loss: 10695.95
[INFO 2017-06-26 15:12:17,419 main.py:50] epoch 20, training loss: 17750.20, average training loss: 54830.78, base loss: 10693.61
[INFO 2017-06-26 15:12:20,298 main.py:50] epoch 21, training loss: 17315.32, average training loss: 53125.53, base loss: 10703.06
[INFO 2017-06-26 15:12:23,177 main.py:50] epoch 22, training loss: 16137.67, average training loss: 51517.36, base loss: 10681.79
[INFO 2017-06-26 15:12:26,043 main.py:50] epoch 23, training loss: 15972.65, average training loss: 50036.33, base loss: 10685.14
[INFO 2017-06-26 15:12:28,940 main.py:50] epoch 24, training loss: 15222.32, average training loss: 48643.77, base loss: 10682.75
[INFO 2017-06-26 15:12:31,806 main.py:50] epoch 25, training loss: 14666.77, average training loss: 47336.97, base loss: 10678.00
[INFO 2017-06-26 15:12:34,673 main.py:50] epoch 26, training loss: 14331.10, average training loss: 46114.53, base loss: 10675.68
[INFO 2017-06-26 15:12:37,537 main.py:50] epoch 27, training loss: 14138.60, average training loss: 44972.53, base loss: 10682.73
[INFO 2017-06-26 15:12:40,430 main.py:50] epoch 28, training loss: 13069.79, average training loss: 43872.43, base loss: 10667.47
[INFO 2017-06-26 15:12:43,322 main.py:50] epoch 29, training loss: 13251.74, average training loss: 42851.74, base loss: 10668.64
[INFO 2017-06-26 15:12:46,196 main.py:50] epoch 30, training loss: 13050.59, average training loss: 41890.42, base loss: 10671.89
[INFO 2017-06-26 15:12:49,094 main.py:50] epoch 31, training loss: 12501.89, average training loss: 40972.03, base loss: 10666.66
[INFO 2017-06-26 15:12:51,963 main.py:50] epoch 32, training loss: 13132.48, average training loss: 40128.40, base loss: 10688.19
[INFO 2017-06-26 15:12:54,836 main.py:50] epoch 33, training loss: 12418.18, average training loss: 39313.40, base loss: 10690.56
[INFO 2017-06-26 15:12:57,699 main.py:50] epoch 34, training loss: 12061.08, average training loss: 38534.76, base loss: 10690.55
[INFO 2017-06-26 15:13:00,588 main.py:50] epoch 35, training loss: 11617.53, average training loss: 37787.06, base loss: 10682.90
[INFO 2017-06-26 15:13:03,455 main.py:50] epoch 36, training loss: 11167.13, average training loss: 37067.60, base loss: 10666.78
[INFO 2017-06-26 15:13:06,319 main.py:50] epoch 37, training loss: 11259.80, average training loss: 36388.45, base loss: 10658.11
[INFO 2017-06-26 15:13:09,192 main.py:50] epoch 38, training loss: 11023.31, average training loss: 35738.06, base loss: 10647.02
[INFO 2017-06-26 15:13:12,073 main.py:50] epoch 39, training loss: 10681.23, average training loss: 35111.64, base loss: 10630.29
[INFO 2017-06-26 15:13:14,940 main.py:50] epoch 40, training loss: 10900.04, average training loss: 34521.11, base loss: 10622.63
