[INFO 2017-06-26 13:34:44,768 main.py:170] Namespace(batch_size=32, display=False, image_dir='/home/yi/Downloads/mpii-64-one-2', image_size=64, init_model_path='', input_video_path='video', learning_rate=0.001, method='unsupervised', motion_range=5, num_channel=3, num_inputs=2, output_flow_path='flow', output_flow_video_path='flow_video', save_dir='./model', test=False, test_epoch=10, test_interval=100, test_video=False, train=True, train_epoch=10000)
[INFO 2017-06-26 13:34:48,180 main.py:50] epoch 0, training loss: 150810.83, average training loss: 150810.83, base loss: 10700.86
[INFO 2017-06-26 13:34:49,832 main.py:50] epoch 1, training loss: 125374.62, average training loss: 138092.73, base loss: 10837.39
[INFO 2017-06-26 13:34:51,504 main.py:50] epoch 2, training loss: 108057.75, average training loss: 128081.07, base loss: 10813.28
[INFO 2017-06-26 13:34:53,165 main.py:50] epoch 3, training loss: 94451.09, average training loss: 119673.57, base loss: 10821.61
[INFO 2017-06-26 13:34:54,818 main.py:50] epoch 4, training loss: 82697.20, average training loss: 112278.30, base loss: 10794.11
[INFO 2017-06-26 13:34:56,470 main.py:50] epoch 5, training loss: 71545.64, average training loss: 105489.52, base loss: 10838.35
[INFO 2017-06-26 13:34:58,121 main.py:50] epoch 6, training loss: 62664.41, average training loss: 99371.65, base loss: 10709.85
[INFO 2017-06-26 13:34:59,775 main.py:50] epoch 7, training loss: 54087.70, average training loss: 93711.16, base loss: 10639.32
[INFO 2017-06-26 13:35:01,425 main.py:50] epoch 8, training loss: 47864.52, average training loss: 88617.09, base loss: 10640.48
[INFO 2017-06-26 13:35:03,082 main.py:50] epoch 9, training loss: 41529.53, average training loss: 83908.33, base loss: 10660.31
[INFO 2017-06-26 13:35:04,749 main.py:50] epoch 10, training loss: 36788.77, average training loss: 79624.73, base loss: 10656.07
[INFO 2017-06-26 13:35:06,399 main.py:50] epoch 11, training loss: 32942.77, average training loss: 75734.57, base loss: 10655.02
[INFO 2017-06-26 13:35:08,057 main.py:50] epoch 12, training loss: 30069.29, average training loss: 72221.86, base loss: 10658.26
[INFO 2017-06-26 13:35:09,719 main.py:50] epoch 13, training loss: 27080.73, average training loss: 68997.49, base loss: 10643.94
[INFO 2017-06-26 13:35:11,370 main.py:50] epoch 14, training loss: 24318.05, average training loss: 66018.86, base loss: 10607.29
[INFO 2017-06-26 13:35:13,031 main.py:50] epoch 15, training loss: 22506.59, average training loss: 63299.34, base loss: 10591.03
[INFO 2017-06-26 13:35:14,684 main.py:50] epoch 16, training loss: 21010.11, average training loss: 60811.74, base loss: 10596.23
[INFO 2017-06-26 13:35:16,339 main.py:50] epoch 17, training loss: 19681.33, average training loss: 58526.72, base loss: 10624.73
[INFO 2017-06-26 13:35:17,992 main.py:50] epoch 18, training loss: 18552.99, average training loss: 56422.84, base loss: 10643.40
[INFO 2017-06-26 13:35:19,640 main.py:50] epoch 19, training loss: 17321.33, average training loss: 54467.76, base loss: 10640.57
[INFO 2017-06-26 13:35:21,310 main.py:50] epoch 20, training loss: 16416.31, average training loss: 52655.79, base loss: 10631.61
[INFO 2017-06-26 13:35:22,962 main.py:50] epoch 21, training loss: 15926.18, average training loss: 50986.26, base loss: 10633.33
[INFO 2017-06-26 13:35:24,614 main.py:50] epoch 22, training loss: 15337.15, average training loss: 49436.30, base loss: 10640.79
[INFO 2017-06-26 13:35:26,267 main.py:50] epoch 23, training loss: 14884.53, average training loss: 47996.64, base loss: 10649.78
[INFO 2017-06-26 13:35:27,921 main.py:50] epoch 24, training loss: 14572.21, average training loss: 46659.67, base loss: 10666.77
[INFO 2017-06-26 13:35:29,579 main.py:50] epoch 25, training loss: 13583.61, average training loss: 45387.51, base loss: 10663.04
[INFO 2017-06-26 13:35:31,229 main.py:50] epoch 26, training loss: 13351.54, average training loss: 44200.99, base loss: 10662.61
[INFO 2017-06-26 13:35:32,899 main.py:50] epoch 27, training loss: 12973.75, average training loss: 43085.73, base loss: 10663.99
[INFO 2017-06-26 13:35:34,571 main.py:50] epoch 28, training loss: 12676.34, average training loss: 42037.13, base loss: 10666.13
[INFO 2017-06-26 13:35:36,221 main.py:50] epoch 29, training loss: 12337.40, average training loss: 41047.14, base loss: 10668.15
[INFO 2017-06-26 13:35:37,875 main.py:50] epoch 30, training loss: 12284.26, average training loss: 40119.31, base loss: 10677.88
[INFO 2017-06-26 13:35:39,542 main.py:50] epoch 31, training loss: 11646.11, average training loss: 39229.52, base loss: 10676.31
[INFO 2017-06-26 13:35:41,190 main.py:50] epoch 32, training loss: 11395.04, average training loss: 38386.05, base loss: 10671.85
[INFO 2017-06-26 13:35:42,843 main.py:50] epoch 33, training loss: 11284.34, average training loss: 37588.94, base loss: 10669.56
[INFO 2017-06-26 13:35:44,494 main.py:50] epoch 34, training loss: 11235.72, average training loss: 36835.99, base loss: 10670.05
[INFO 2017-06-26 13:35:46,143 main.py:50] epoch 35, training loss: 10842.03, average training loss: 36113.94, base loss: 10664.64
[INFO 2017-06-26 13:35:47,805 main.py:50] epoch 36, training loss: 10817.83, average training loss: 35430.26, base loss: 10662.23
[INFO 2017-06-26 13:35:49,456 main.py:50] epoch 37, training loss: 10779.67, average training loss: 34781.56, base loss: 10662.87
[INFO 2017-06-26 13:35:51,118 main.py:50] epoch 38, training loss: 11164.82, average training loss: 34176.00, base loss: 10676.43
[INFO 2017-06-26 13:35:52,772 main.py:50] epoch 39, training loss: 10292.17, average training loss: 33578.91, base loss: 10667.03
[INFO 2017-06-26 13:35:54,423 main.py:50] epoch 40, training loss: 10841.33, average training loss: 33024.33, base loss: 10674.00
[INFO 2017-06-26 13:35:56,083 main.py:50] epoch 41, training loss: 10685.48, average training loss: 32492.45, base loss: 10678.79
[INFO 2017-06-26 13:35:57,735 main.py:50] epoch 42, training loss: 9761.18, average training loss: 31963.82, base loss: 10660.70
[INFO 2017-06-26 13:35:59,384 main.py:50] epoch 43, training loss: 11094.10, average training loss: 31489.51, base loss: 10678.87
[INFO 2017-06-26 13:36:01,032 main.py:50] epoch 44, training loss: 9797.76, average training loss: 31007.47, base loss: 10665.04
[INFO 2017-06-26 13:36:02,684 main.py:50] epoch 45, training loss: 10282.00, average training loss: 30556.92, base loss: 10665.69
[INFO 2017-06-26 13:36:04,335 main.py:50] epoch 46, training loss: 10292.30, average training loss: 30125.75, base loss: 10667.27
[INFO 2017-06-26 13:36:05,987 main.py:50] epoch 47, training loss: 10478.68, average training loss: 29716.44, base loss: 10673.90
[INFO 2017-06-26 13:36:07,641 main.py:50] epoch 48, training loss: 10509.68, average training loss: 29324.46, base loss: 10681.87
[INFO 2017-06-26 13:36:09,294 main.py:50] epoch 49, training loss: 10452.93, average training loss: 28947.03, base loss: 10689.10
[INFO 2017-06-26 13:36:10,946 main.py:50] epoch 50, training loss: 10034.09, average training loss: 28576.19, base loss: 10687.07
[INFO 2017-06-26 13:36:12,601 main.py:50] epoch 51, training loss: 9688.58, average training loss: 28212.97, base loss: 10677.95
[INFO 2017-06-26 13:36:14,254 main.py:50] epoch 52, training loss: 10507.78, average training loss: 27878.91, base loss: 10688.96
[INFO 2017-06-26 13:36:15,905 main.py:50] epoch 53, training loss: 9984.33, average training loss: 27547.53, base loss: 10688.57
[INFO 2017-06-26 13:36:17,565 main.py:50] epoch 54, training loss: 9951.65, average training loss: 27227.60, base loss: 10686.71
[INFO 2017-06-26 13:36:19,215 main.py:50] epoch 55, training loss: 9486.63, average training loss: 26910.80, base loss: 10676.33
[INFO 2017-06-26 13:36:20,864 main.py:50] epoch 56, training loss: 9858.00, average training loss: 26611.63, base loss: 10674.87
[INFO 2017-06-26 13:36:22,519 main.py:50] epoch 57, training loss: 10269.98, average training loss: 26329.87, base loss: 10682.10
