[INFO 2017-06-27 17:01:24,007 main.py:174] Namespace(batch_size=64, display=False, flow_dir='flow', flow_video_dir='flow-video', image_size=64, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=3, num_channel=3, num_inputs=3, save_dir='./model', test=False, test_dir='/home/yi/Downloads/youtube-64', test_epoch=10, test_interval=100, test_video=False, train=True, train_dir='/home/yi/Downloads/youtube-64', train_epoch=10000)
[INFO 2017-06-27 17:01:27,074 main.py:51] epoch 0, training loss: 67737.20, average training loss: 67737.20, base loss: 9466.82
[INFO 2017-06-27 17:01:28,026 main.py:51] epoch 1, training loss: 55745.06, average training loss: 61741.13, base loss: 9509.73
[INFO 2017-06-27 17:01:28,992 main.py:51] epoch 2, training loss: 46663.83, average training loss: 56715.36, base loss: 8815.03
[INFO 2017-06-27 17:01:29,956 main.py:51] epoch 3, training loss: 41408.11, average training loss: 52888.55, base loss: 8955.58
[INFO 2017-06-27 17:01:30,909 main.py:51] epoch 4, training loss: 39837.61, average training loss: 50278.36, base loss: 9721.34
[INFO 2017-06-27 17:01:31,888 main.py:51] epoch 5, training loss: 31924.88, average training loss: 47219.45, base loss: 9637.40
[INFO 2017-06-27 17:01:32,970 main.py:51] epoch 6, training loss: 27873.87, average training loss: 44455.79, base loss: 9517.98
[INFO 2017-06-27 17:01:34,176 main.py:51] epoch 7, training loss: 27984.78, average training loss: 42396.92, base loss: 9622.08
[INFO 2017-06-27 17:01:35,388 main.py:51] epoch 8, training loss: 22437.69, average training loss: 40179.22, base loss: 9429.31
[INFO 2017-06-27 17:01:36,597 main.py:51] epoch 9, training loss: 22263.66, average training loss: 38387.67, base loss: 9440.25
[INFO 2017-06-27 17:01:37,804 main.py:51] epoch 10, training loss: 20768.99, average training loss: 36785.97, base loss: 9408.27
[INFO 2017-06-27 17:01:39,013 main.py:51] epoch 11, training loss: 18907.82, average training loss: 35296.12, base loss: 9334.61
[INFO 2017-06-27 17:01:40,224 main.py:51] epoch 12, training loss: 17971.59, average training loss: 33963.47, base loss: 9303.32
[INFO 2017-06-27 17:01:41,433 main.py:51] epoch 13, training loss: 17686.91, average training loss: 32800.86, base loss: 9231.85
[INFO 2017-06-27 17:01:42,640 main.py:51] epoch 14, training loss: 16528.83, average training loss: 31716.05, base loss: 9192.19
[INFO 2017-06-27 17:01:43,849 main.py:51] epoch 15, training loss: 15003.78, average training loss: 30671.54, base loss: 9083.17
[INFO 2017-06-27 17:01:45,064 main.py:51] epoch 16, training loss: 15348.34, average training loss: 29770.17, base loss: 9049.43
[INFO 2017-06-27 17:01:46,275 main.py:51] epoch 17, training loss: 14382.87, average training loss: 28915.32, base loss: 8997.93
[INFO 2017-06-27 17:01:47,486 main.py:51] epoch 18, training loss: 16303.13, average training loss: 28251.52, base loss: 9097.62
[INFO 2017-06-27 17:01:48,694 main.py:51] epoch 19, training loss: 13425.66, average training loss: 27510.23, base loss: 9054.65
[INFO 2017-06-27 17:01:49,904 main.py:51] epoch 20, training loss: 13880.69, average training loss: 26861.20, base loss: 9065.65
[INFO 2017-06-27 17:01:51,114 main.py:51] epoch 21, training loss: 13036.26, average training loss: 26232.80, base loss: 9045.73
[INFO 2017-06-27 17:01:52,323 main.py:51] epoch 22, training loss: 13185.18, average training loss: 25665.51, base loss: 9037.82
[INFO 2017-06-27 17:01:53,532 main.py:51] epoch 23, training loss: 11812.73, average training loss: 25088.31, base loss: 8997.58
[INFO 2017-06-27 17:01:54,739 main.py:51] epoch 24, training loss: 12430.43, average training loss: 24582.00, base loss: 8995.15
[INFO 2017-06-27 17:01:55,951 main.py:51] epoch 25, training loss: 12416.30, average training loss: 24114.08, base loss: 8988.46
[INFO 2017-06-27 17:01:57,160 main.py:51] epoch 26, training loss: 14753.90, average training loss: 23767.41, base loss: 9083.43
[INFO 2017-06-27 17:01:58,370 main.py:51] epoch 27, training loss: 12009.24, average training loss: 23347.48, base loss: 9091.54
[INFO 2017-06-27 17:01:59,576 main.py:51] epoch 28, training loss: 11305.67, average training loss: 22932.24, base loss: 9069.41
[INFO 2017-06-27 17:02:00,784 main.py:51] epoch 29, training loss: 11802.20, average training loss: 22561.24, base loss: 9073.73
[INFO 2017-06-27 17:02:01,994 main.py:51] epoch 30, training loss: 11691.17, average training loss: 22210.59, base loss: 9084.42
[INFO 2017-06-27 17:02:03,201 main.py:51] epoch 31, training loss: 11033.16, average training loss: 21861.30, base loss: 9073.73
[INFO 2017-06-27 17:02:04,414 main.py:51] epoch 32, training loss: 11475.71, average training loss: 21546.58, base loss: 9082.45
[INFO 2017-06-27 17:02:05,625 main.py:51] epoch 33, training loss: 10436.07, average training loss: 21219.80, base loss: 9055.34
[INFO 2017-06-27 17:02:06,838 main.py:51] epoch 34, training loss: 10967.84, average training loss: 20926.89, base loss: 9055.77
[INFO 2017-06-27 17:02:08,046 main.py:51] epoch 35, training loss: 10796.57, average training loss: 20645.49, base loss: 9054.90
[INFO 2017-06-27 17:02:09,249 main.py:51] epoch 36, training loss: 10419.21, average training loss: 20369.11, base loss: 9040.55
[INFO 2017-06-27 17:02:10,462 main.py:51] epoch 37, training loss: 10207.37, average training loss: 20101.69, base loss: 9023.62
[INFO 2017-06-27 17:02:11,668 main.py:51] epoch 38, training loss: 10936.23, average training loss: 19866.68, base loss: 9033.53
[INFO 2017-06-27 17:02:12,881 main.py:51] epoch 39, training loss: 10147.46, average training loss: 19623.70, base loss: 9023.43
[INFO 2017-06-27 17:02:14,088 main.py:51] epoch 40, training loss: 10293.71, average training loss: 19396.14, base loss: 9020.76
[INFO 2017-06-27 17:02:15,310 main.py:51] epoch 41, training loss: 10578.64, average training loss: 19186.20, base loss: 9028.20
[INFO 2017-06-27 17:02:16,522 main.py:51] epoch 42, training loss: 10328.98, average training loss: 18980.22, base loss: 9029.16
[INFO 2017-06-27 17:02:17,733 main.py:51] epoch 43, training loss: 8836.88, average training loss: 18749.69, base loss: 8995.51
[INFO 2017-06-27 17:02:18,944 main.py:51] epoch 44, training loss: 9493.13, average training loss: 18543.99, base loss: 8980.49
[INFO 2017-06-27 17:02:20,153 main.py:51] epoch 45, training loss: 11464.06, average training loss: 18390.07, base loss: 9015.81
[INFO 2017-06-27 17:02:21,368 main.py:51] epoch 46, training loss: 10349.47, average training loss: 18219.00, base loss: 9022.96
[INFO 2017-06-27 17:02:22,573 main.py:51] epoch 47, training loss: 10085.76, average training loss: 18049.55, base loss: 9029.76
[INFO 2017-06-27 17:02:23,781 main.py:51] epoch 48, training loss: 9280.06, average training loss: 17870.59, base loss: 9014.20
[INFO 2017-06-27 17:02:24,990 main.py:51] epoch 49, training loss: 10243.38, average training loss: 17718.04, base loss: 9023.03
[INFO 2017-06-27 17:02:26,203 main.py:51] epoch 50, training loss: 13136.17, average training loss: 17628.20, base loss: 9088.86
[INFO 2017-06-27 17:02:27,414 main.py:51] epoch 51, training loss: 8743.16, average training loss: 17457.33, base loss: 9067.35
[INFO 2017-06-27 17:02:28,621 main.py:51] epoch 52, training loss: 9849.43, average training loss: 17313.79, base loss: 9069.73
[INFO 2017-06-27 17:02:29,832 main.py:51] epoch 53, training loss: 9194.21, average training loss: 17163.43, base loss: 9059.21
[INFO 2017-06-27 17:02:31,042 main.py:51] epoch 54, training loss: 10569.57, average training loss: 17043.54, base loss: 9076.79
[INFO 2017-06-27 17:02:32,253 main.py:51] epoch 55, training loss: 12940.14, average training loss: 16970.26, base loss: 9134.64
[INFO 2017-06-27 17:02:33,464 main.py:51] epoch 56, training loss: 14880.65, average training loss: 16933.60, base loss: 9227.62
[INFO 2017-06-27 17:02:34,671 main.py:51] epoch 57, training loss: 10731.93, average training loss: 16826.68, base loss: 9244.47
[INFO 2017-06-27 17:02:35,882 main.py:51] epoch 58, training loss: 9357.96, average training loss: 16700.09, base loss: 9238.27
[INFO 2017-06-27 17:02:37,093 main.py:51] epoch 59, training loss: 9513.83, average training loss: 16580.32, base loss: 9235.16
[INFO 2017-06-27 17:02:38,298 main.py:51] epoch 60, training loss: 9468.02, average training loss: 16463.72, base loss: 9230.38
[INFO 2017-06-27 17:02:39,509 main.py:51] epoch 61, training loss: 9894.08, average training loss: 16357.76, base loss: 9234.77
[INFO 2017-06-27 17:02:40,723 main.py:51] epoch 62, training loss: 9167.26, average training loss: 16243.63, base loss: 9226.94
[INFO 2017-06-27 17:02:41,934 main.py:51] epoch 63, training loss: 9666.10, average training loss: 16140.85, base loss: 9228.25
[INFO 2017-06-27 17:02:43,146 main.py:51] epoch 64, training loss: 9147.91, average training loss: 16033.27, base loss: 9219.86
[INFO 2017-06-27 17:02:44,354 main.py:51] epoch 65, training loss: 9560.32, average training loss: 15935.19, base loss: 9220.08
[INFO 2017-06-27 17:02:45,562 main.py:51] epoch 66, training loss: 9709.95, average training loss: 15842.28, base loss: 9221.92
[INFO 2017-06-27 17:02:46,774 main.py:51] epoch 67, training loss: 9285.27, average training loss: 15745.85, base loss: 9218.21
[INFO 2017-06-27 17:02:47,985 main.py:51] epoch 68, training loss: 8654.39, average training loss: 15643.08, base loss: 9204.92
[INFO 2017-06-27 17:02:49,199 main.py:51] epoch 69, training loss: 8888.50, average training loss: 15546.58, base loss: 9195.40
[INFO 2017-06-27 17:02:50,408 main.py:51] epoch 70, training loss: 9182.48, average training loss: 15456.95, base loss: 9191.45
[INFO 2017-06-27 17:02:51,613 main.py:51] epoch 71, training loss: 12183.92, average training loss: 15411.49, base loss: 9228.72
[INFO 2017-06-27 17:02:52,822 main.py:51] epoch 72, training loss: 10218.80, average training loss: 15340.36, base loss: 9239.60
[INFO 2017-06-27 17:02:54,034 main.py:51] epoch 73, training loss: 9146.59, average training loss: 15256.66, base loss: 9235.67
[INFO 2017-06-27 17:02:55,244 main.py:51] epoch 74, training loss: 8655.48, average training loss: 15168.64, base loss: 9224.91
[INFO 2017-06-27 17:02:56,453 main.py:51] epoch 75, training loss: 12459.73, average training loss: 15133.00, base loss: 9264.76
[INFO 2017-06-27 17:02:57,666 main.py:51] epoch 76, training loss: 9689.97, average training loss: 15062.31, base loss: 9267.83
[INFO 2017-06-27 17:02:58,876 main.py:51] epoch 77, training loss: 8767.31, average training loss: 14981.60, base loss: 9259.01
[INFO 2017-06-27 17:03:00,084 main.py:51] epoch 78, training loss: 9592.24, average training loss: 14913.38, base loss: 9260.84
[INFO 2017-06-27 17:03:01,296 main.py:51] epoch 79, training loss: 8698.00, average training loss: 14835.69, base loss: 9251.91
[INFO 2017-06-27 17:03:02,511 main.py:51] epoch 80, training loss: 8627.47, average training loss: 14759.05, base loss: 9242.39
[INFO 2017-06-27 17:03:03,723 main.py:51] epoch 81, training loss: 8873.78, average training loss: 14687.28, base loss: 9236.68
[INFO 2017-06-27 17:03:04,932 main.py:51] epoch 82, training loss: 9771.23, average training loss: 14628.05, base loss: 9242.29
[INFO 2017-06-27 17:03:06,147 main.py:51] epoch 83, training loss: 8990.21, average training loss: 14560.93, base loss: 9237.85
[INFO 2017-06-27 17:03:07,355 main.py:51] epoch 84, training loss: 8998.57, average training loss: 14495.49, base loss: 9234.15
[INFO 2017-06-27 17:03:08,566 main.py:51] epoch 85, training loss: 9006.33, average training loss: 14431.66, base loss: 9230.83
[INFO 2017-06-27 17:03:09,776 main.py:51] epoch 86, training loss: 8062.46, average training loss: 14358.45, base loss: 9215.67
[INFO 2017-06-27 17:03:10,991 main.py:51] epoch 87, training loss: 9150.44, average training loss: 14299.27, base loss: 9214.55
[INFO 2017-06-27 17:03:12,202 main.py:51] epoch 88, training loss: 9830.07, average training loss: 14249.06, base loss: 9221.87
[INFO 2017-06-27 17:03:13,413 main.py:51] epoch 89, training loss: 9752.90, average training loss: 14199.10, base loss: 9227.72
[INFO 2017-06-27 17:03:14,622 main.py:51] epoch 90, training loss: 15233.09, average training loss: 14210.46, base loss: 9292.50
[INFO 2017-06-27 17:03:15,833 main.py:51] epoch 91, training loss: 8817.31, average training loss: 14151.84, base loss: 9286.83
[INFO 2017-06-27 17:03:17,048 main.py:51] epoch 92, training loss: 8719.78, average training loss: 14093.43, base loss: 9280.21
[INFO 2017-06-27 17:03:18,257 main.py:51] epoch 93, training loss: 8933.71, average training loss: 14038.54, base loss: 9275.67
[INFO 2017-06-27 17:03:19,469 main.py:51] epoch 94, training loss: 9107.75, average training loss: 13986.64, base loss: 9274.21
[INFO 2017-06-27 17:03:20,681 main.py:51] epoch 95, training loss: 9282.97, average training loss: 13937.64, base loss: 9274.26
[INFO 2017-06-27 17:03:21,891 main.py:51] epoch 96, training loss: 8073.66, average training loss: 13877.19, base loss: 9261.58
[INFO 2017-06-27 17:03:23,104 main.py:51] epoch 97, training loss: 8559.71, average training loss: 13822.93, base loss: 9254.32
[INFO 2017-06-27 17:03:24,318 main.py:51] epoch 98, training loss: 8618.17, average training loss: 13770.35, base loss: 9247.67
[INFO 2017-06-27 17:03:25,532 main.py:51] epoch 99, training loss: 8778.60, average training loss: 13720.44, base loss: 9243.06
[INFO 2017-06-27 17:03:25,532 main.py:53] epoch 99, testing
[INFO 2017-06-27 17:03:30,226 main.py:105] average testing loss: 10136.62, base loss: 10115.73
[INFO 2017-06-27 17:03:30,226 main.py:106] improve_loss: -20.89, improve_percent: -0.00
[INFO 2017-06-27 17:03:30,227 main.py:72] model save to ./model/final.pth
[INFO 2017-06-27 17:03:30,238 main.py:76] current best improved percent: -0.00
[INFO 2017-06-27 17:03:31,452 main.py:51] epoch 100, training loss: 8770.03, average training loss: 13671.42, base loss: 9238.51
[INFO 2017-06-27 17:03:32,665 main.py:51] epoch 101, training loss: 9486.04, average training loss: 13630.39, base loss: 9241.68
[INFO 2017-06-27 17:03:33,874 main.py:51] epoch 102, training loss: 8037.98, average training loss: 13576.09, base loss: 9229.80
[INFO 2017-06-27 17:03:35,082 main.py:51] epoch 103, training loss: 7962.40, average training loss: 13522.12, base loss: 9217.41
[INFO 2017-06-27 17:03:36,292 main.py:51] epoch 104, training loss: 8179.49, average training loss: 13471.23, base loss: 9207.38
[INFO 2017-06-27 17:03:37,501 main.py:51] epoch 105, training loss: 7868.29, average training loss: 13418.38, base loss: 9194.31
[INFO 2017-06-27 17:03:38,715 main.py:51] epoch 106, training loss: 9660.91, average training loss: 13383.26, base loss: 9199.68
[INFO 2017-06-27 17:03:39,924 main.py:51] epoch 107, training loss: 10328.34, average training loss: 13354.97, base loss: 9211.31
[INFO 2017-06-27 17:03:41,136 main.py:51] epoch 108, training loss: 9037.80, average training loss: 13315.37, base loss: 9210.82
[INFO 2017-06-27 17:03:42,353 main.py:51] epoch 109, training loss: 8096.67, average training loss: 13267.92, base loss: 9200.22
[INFO 2017-06-27 17:03:43,565 main.py:51] epoch 110, training loss: 9091.11, average training loss: 13230.29, base loss: 9200.28
[INFO 2017-06-27 17:03:44,774 main.py:51] epoch 111, training loss: 9587.49, average training loss: 13197.77, base loss: 9204.69
[INFO 2017-06-27 17:03:45,984 main.py:51] epoch 112, training loss: 9442.29, average training loss: 13164.54, base loss: 9207.46
[INFO 2017-06-27 17:03:47,195 main.py:51] epoch 113, training loss: 8877.61, average training loss: 13126.93, base loss: 9205.64
[INFO 2017-06-27 17:03:48,408 main.py:51] epoch 114, training loss: 8295.80, average training loss: 13084.92, base loss: 9197.82
[INFO 2017-06-27 17:03:49,618 main.py:51] epoch 115, training loss: 9010.44, average training loss: 13049.80, base loss: 9197.06
[INFO 2017-06-27 17:03:50,824 main.py:51] epoch 116, training loss: 9263.47, average training loss: 13017.43, base loss: 9198.74
[INFO 2017-06-27 17:03:52,036 main.py:51] epoch 117, training loss: 9422.51, average training loss: 12986.97, base loss: 9201.65
[INFO 2017-06-27 17:03:53,248 main.py:51] epoch 118, training loss: 8787.17, average training loss: 12951.68, base loss: 9199.15
[INFO 2017-06-27 17:03:54,456 main.py:51] epoch 119, training loss: 7828.98, average training loss: 12908.99, base loss: 9188.32
[INFO 2017-06-27 17:03:55,667 main.py:51] epoch 120, training loss: 9644.43, average training loss: 12882.01, base loss: 9194.02
[INFO 2017-06-27 17:03:56,879 main.py:51] epoch 121, training loss: 8979.24, average training loss: 12850.02, base loss: 9193.56
[INFO 2017-06-27 17:03:58,088 main.py:51] epoch 122, training loss: 8632.92, average training loss: 12815.73, base loss: 9189.53
[INFO 2017-06-27 17:03:59,297 main.py:51] epoch 123, training loss: 8961.46, average training loss: 12784.65, base loss: 9188.15
[INFO 2017-06-27 17:04:00,506 main.py:51] epoch 124, training loss: 8452.49, average training loss: 12749.99, base loss: 9183.32
[INFO 2017-06-27 17:04:01,716 main.py:51] epoch 125, training loss: 12137.74, average training loss: 12745.13, base loss: 9208.09
[INFO 2017-06-27 17:04:02,924 main.py:51] epoch 126, training loss: 8383.86, average training loss: 12710.79, base loss: 9203.07
[INFO 2017-06-27 17:04:04,134 main.py:51] epoch 127, training loss: 8564.75, average training loss: 12678.40, base loss: 9199.31
[INFO 2017-06-27 17:04:05,346 main.py:51] epoch 128, training loss: 9441.97, average training loss: 12653.31, base loss: 9202.66
[INFO 2017-06-27 17:04:06,560 main.py:51] epoch 129, training loss: 8724.03, average training loss: 12623.09, base loss: 9200.26
[INFO 2017-06-27 17:04:07,776 main.py:51] epoch 130, training loss: 9053.97, average training loss: 12595.84, base loss: 9200.89
[INFO 2017-06-27 17:04:08,985 main.py:51] epoch 131, training loss: 7840.20, average training loss: 12559.81, base loss: 9191.24
[INFO 2017-06-27 17:04:10,197 main.py:51] epoch 132, training loss: 7802.27, average training loss: 12524.04, base loss: 9181.29
[INFO 2017-06-27 17:04:11,409 main.py:51] epoch 133, training loss: 8407.47, average training loss: 12493.32, base loss: 9176.80
[INFO 2017-06-27 17:04:12,619 main.py:51] epoch 134, training loss: 7285.12, average training loss: 12454.74, base loss: 9163.29
[INFO 2017-06-27 17:04:13,829 main.py:51] epoch 135, training loss: 9164.68, average training loss: 12430.55, base loss: 9164.66
[INFO 2017-06-27 17:04:15,042 main.py:51] epoch 136, training loss: 8519.08, average training loss: 12402.00, base loss: 9161.66
