[INFO 2017-06-27 20:02:15,523 main.py:176] Namespace(batch_size=32, display=False, flow_dir='flow', flow_video_dir='flow-video', flow_video_fps=25, image_size=64, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=2, num_channel=3, num_inputs=3, save_dir='./model', test=False, test_dir='/home/yi/Downloads/youtube-64', test_epoch=10, test_interval=100, test_video=False, train=True, train_dir='/home/yi/Downloads/youtube-64', train_epoch=10000)
[INFO 2017-06-27 20:02:17,912 main.py:51] epoch 0, training loss: 25110.11, average training loss: 25110.11, base loss: 3228.54
[INFO 2017-06-27 20:02:18,229 main.py:51] epoch 1, training loss: 20493.00, average training loss: 22801.56, base loss: 3832.49
[INFO 2017-06-27 20:02:18,527 main.py:51] epoch 2, training loss: 18647.65, average training loss: 21416.92, base loss: 4301.72
[INFO 2017-06-27 20:02:18,838 main.py:51] epoch 3, training loss: 14721.04, average training loss: 19742.95, base loss: 4361.70
[INFO 2017-06-27 20:02:19,150 main.py:51] epoch 4, training loss: 13644.51, average training loss: 18523.26, base loss: 4420.65
[INFO 2017-06-27 20:02:19,453 main.py:51] epoch 5, training loss: 11815.91, average training loss: 17405.37, base loss: 4330.50
[INFO 2017-06-27 20:02:19,769 main.py:51] epoch 6, training loss: 10289.07, average training loss: 16388.76, base loss: 4319.28
[INFO 2017-06-27 20:02:20,074 main.py:51] epoch 7, training loss: 9088.94, average training loss: 15476.28, base loss: 4209.41
[INFO 2017-06-27 20:02:20,386 main.py:51] epoch 8, training loss: 8877.16, average training loss: 14743.04, base loss: 4154.39
[INFO 2017-06-27 20:02:20,690 main.py:51] epoch 9, training loss: 7818.26, average training loss: 14050.57, base loss: 4070.22
[INFO 2017-06-27 20:02:20,992 main.py:51] epoch 10, training loss: 8303.61, average training loss: 13528.11, base loss: 4086.18
[INFO 2017-06-27 20:02:21,301 main.py:51] epoch 11, training loss: 7773.05, average training loss: 13048.53, base loss: 4090.35
[INFO 2017-06-27 20:02:21,604 main.py:51] epoch 12, training loss: 7776.77, average training loss: 12643.01, base loss: 4103.60
[INFO 2017-06-27 20:02:21,912 main.py:51] epoch 13, training loss: 6411.90, average training loss: 12197.93, base loss: 4061.00
[INFO 2017-06-27 20:02:22,221 main.py:51] epoch 14, training loss: 6247.34, average training loss: 11801.22, base loss: 4024.53
[INFO 2017-06-27 20:02:22,525 main.py:51] epoch 15, training loss: 7600.26, average training loss: 11538.66, base loss: 4094.49
[INFO 2017-06-27 20:02:22,836 main.py:51] epoch 16, training loss: 6740.97, average training loss: 11256.44, base loss: 4098.55
[INFO 2017-06-27 20:02:23,147 main.py:51] epoch 17, training loss: 6953.06, average training loss: 11017.37, base loss: 4131.39
[INFO 2017-06-27 20:02:23,450 main.py:51] epoch 18, training loss: 6287.21, average training loss: 10768.41, base loss: 4135.81
[INFO 2017-06-27 20:02:23,755 main.py:51] epoch 19, training loss: 5740.49, average training loss: 10517.02, base loss: 4120.37
[INFO 2017-06-27 20:02:24,056 main.py:51] epoch 20, training loss: 6048.88, average training loss: 10304.25, base loss: 4124.83
[INFO 2017-06-27 20:02:24,364 main.py:51] epoch 21, training loss: 5326.87, average training loss: 10078.00, base loss: 4101.07
[INFO 2017-06-27 20:02:24,678 main.py:51] epoch 22, training loss: 5813.35, average training loss: 9892.58, base loss: 4108.96
[INFO 2017-06-27 20:02:24,993 main.py:51] epoch 23, training loss: 5245.58, average training loss: 9698.96, base loss: 4086.49
[INFO 2017-06-27 20:02:25,308 main.py:51] epoch 24, training loss: 5023.74, average training loss: 9511.95, base loss: 4079.27
[INFO 2017-06-27 20:02:25,613 main.py:51] epoch 25, training loss: 4802.28, average training loss: 9330.81, base loss: 4058.80
[INFO 2017-06-27 20:02:25,927 main.py:51] epoch 26, training loss: 5626.59, average training loss: 9193.61, base loss: 4077.01
[INFO 2017-06-27 20:02:26,240 main.py:51] epoch 27, training loss: 5212.05, average training loss: 9051.42, base loss: 4083.62
[INFO 2017-06-27 20:02:26,545 main.py:51] epoch 28, training loss: 4432.89, average training loss: 8892.16, base loss: 4063.66
[INFO 2017-06-27 20:02:26,861 main.py:51] epoch 29, training loss: 8587.80, average training loss: 8882.01, base loss: 4183.51
[INFO 2017-06-27 20:02:27,168 main.py:51] epoch 30, training loss: 4693.15, average training loss: 8746.89, base loss: 4168.28
[INFO 2017-06-27 20:02:27,474 main.py:51] epoch 31, training loss: 4183.67, average training loss: 8604.29, base loss: 4147.02
[INFO 2017-06-27 20:02:27,779 main.py:51] epoch 32, training loss: 4428.12, average training loss: 8477.74, base loss: 4121.99
[INFO 2017-06-27 20:02:28,098 main.py:51] epoch 33, training loss: 4732.54, average training loss: 8367.58, base loss: 4112.58
[INFO 2017-06-27 20:02:28,405 main.py:51] epoch 34, training loss: 4161.21, average training loss: 8247.40, base loss: 4094.11
[INFO 2017-06-27 20:02:28,710 main.py:51] epoch 35, training loss: 4182.09, average training loss: 8134.48, base loss: 4079.80
[INFO 2017-06-27 20:02:29,017 main.py:51] epoch 36, training loss: 4719.77, average training loss: 8042.19, base loss: 4080.64
[INFO 2017-06-27 20:02:29,325 main.py:51] epoch 37, training loss: 4912.07, average training loss: 7959.82, base loss: 4086.68
[INFO 2017-06-27 20:02:29,630 main.py:51] epoch 38, training loss: 4079.16, average training loss: 7860.31, base loss: 4071.11
[INFO 2017-06-27 20:02:29,942 main.py:51] epoch 39, training loss: 4557.45, average training loss: 7777.74, base loss: 4071.86
[INFO 2017-06-27 20:02:30,251 main.py:51] epoch 40, training loss: 8232.66, average training loss: 7788.84, base loss: 4160.75
[INFO 2017-06-27 20:02:30,557 main.py:51] epoch 41, training loss: 8399.76, average training loss: 7803.38, base loss: 4251.55
[INFO 2017-06-27 20:02:30,865 main.py:51] epoch 42, training loss: 3349.48, average training loss: 7699.80, base loss: 4222.35
[INFO 2017-06-27 20:02:31,183 main.py:51] epoch 43, training loss: 3896.94, average training loss: 7613.37, base loss: 4205.97
[INFO 2017-06-27 20:02:31,494 main.py:51] epoch 44, training loss: 4659.25, average training loss: 7547.73, base loss: 4207.67
[INFO 2017-06-27 20:02:31,804 main.py:51] epoch 45, training loss: 7875.10, average training loss: 7554.84, base loss: 4280.94
[INFO 2017-06-27 20:02:32,119 main.py:51] epoch 46, training loss: 4412.09, average training loss: 7487.98, base loss: 4276.45
[INFO 2017-06-27 20:02:32,431 main.py:51] epoch 47, training loss: 4601.03, average training loss: 7427.83, base loss: 4277.93
[INFO 2017-06-27 20:02:32,742 main.py:51] epoch 48, training loss: 5209.86, average training loss: 7382.57, base loss: 4292.77
[INFO 2017-06-27 20:02:33,055 main.py:51] epoch 49, training loss: 3945.99, average training loss: 7313.83, base loss: 4280.89
[INFO 2017-06-27 20:02:33,367 main.py:51] epoch 50, training loss: 4749.04, average training loss: 7263.54, base loss: 4286.04
[INFO 2017-06-27 20:02:33,681 main.py:51] epoch 51, training loss: 4102.25, average training loss: 7202.75, base loss: 4277.85
