[INFO 2017-06-26 21:57:44,252 main.py:126] Namespace(batch_size=32, display=False, image_size=64, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=2, num_channel=3, num_inputs=3, save_dir='./model', test=False, test_dir='/home/yi/Downloads/youtube-64', test_epoch=10, test_interval=100, train=True, train_dir='/home/yi/Downloads/youtube-64', train_epoch=10000)
[INFO 2017-06-26 21:57:46,674 main.py:47] epoch 0, training loss: 136978.06, average training loss: 136978.06, base loss: 5911.12
[INFO 2017-06-26 21:57:47,014 main.py:47] epoch 1, training loss: 102540.10, average training loss: 119759.08, base loss: 5495.64
[INFO 2017-06-26 21:57:47,353 main.py:47] epoch 2, training loss: 86730.22, average training loss: 108749.46, base loss: 5189.93
[INFO 2017-06-26 21:57:47,682 main.py:47] epoch 3, training loss: 70706.01, average training loss: 99238.60, base loss: 5163.89
[INFO 2017-06-26 21:57:48,016 main.py:47] epoch 4, training loss: 63653.66, average training loss: 92121.61, base loss: 5818.80
[INFO 2017-06-26 21:57:48,357 main.py:47] epoch 5, training loss: 54491.24, average training loss: 85849.88, base loss: 6132.15
[INFO 2017-06-26 21:57:48,692 main.py:47] epoch 6, training loss: 43954.29, average training loss: 79864.80, base loss: 5973.23
[INFO 2017-06-26 21:57:49,027 main.py:47] epoch 7, training loss: 40748.89, average training loss: 74975.31, base loss: 6173.06
[INFO 2017-06-26 21:57:49,360 main.py:47] epoch 8, training loss: 32081.64, average training loss: 70209.35, base loss: 5929.57
[INFO 2017-06-26 21:57:49,687 main.py:47] epoch 9, training loss: 27400.52, average training loss: 65928.46, base loss: 5828.80
[INFO 2017-06-26 21:57:50,023 main.py:47] epoch 10, training loss: 23244.60, average training loss: 62048.11, base loss: 5693.71
[INFO 2017-06-26 21:57:50,365 main.py:47] epoch 11, training loss: 20329.45, average training loss: 58571.56, base loss: 5566.44
[INFO 2017-06-26 21:57:50,705 main.py:47] epoch 12, training loss: 18189.53, average training loss: 55465.25, base loss: 5467.14
[INFO 2017-06-26 21:57:51,041 main.py:47] epoch 13, training loss: 16174.25, average training loss: 52658.75, base loss: 5379.93
[INFO 2017-06-26 21:57:51,380 main.py:47] epoch 14, training loss: 14280.30, average training loss: 50100.18, base loss: 5283.93
[INFO 2017-06-26 21:57:51,715 main.py:47] epoch 15, training loss: 12661.64, average training loss: 47760.27, base loss: 5253.21
[INFO 2017-06-26 21:57:52,047 main.py:47] epoch 16, training loss: 11225.30, average training loss: 45611.16, base loss: 5178.96
[INFO 2017-06-26 21:57:52,382 main.py:47] epoch 17, training loss: 10312.34, average training loss: 43650.11, base loss: 5159.64
[INFO 2017-06-26 21:57:52,713 main.py:47] epoch 18, training loss: 8979.72, average training loss: 41825.36, base loss: 5101.95
[INFO 2017-06-26 21:57:53,053 main.py:47] epoch 19, training loss: 8930.47, average training loss: 40180.61, base loss: 5070.08
[INFO 2017-06-26 21:57:53,382 main.py:47] epoch 20, training loss: 8176.30, average training loss: 38656.60, base loss: 5044.23
[INFO 2017-06-26 21:57:53,716 main.py:47] epoch 21, training loss: 7646.60, average training loss: 37247.05, base loss: 5021.64
[INFO 2017-06-26 21:57:54,056 main.py:47] epoch 22, training loss: 7618.15, average training loss: 35958.84, base loss: 5016.57
[INFO 2017-06-26 21:57:54,396 main.py:47] epoch 23, training loss: 6873.19, average training loss: 34746.94, base loss: 5009.39
[INFO 2017-06-26 21:57:54,745 main.py:47] epoch 24, training loss: 7250.32, average training loss: 33647.07, base loss: 5042.24
[INFO 2017-06-26 21:57:55,105 main.py:47] epoch 25, training loss: 6338.10, average training loss: 32596.73, base loss: 5031.76
[INFO 2017-06-26 21:57:55,470 main.py:47] epoch 26, training loss: 9049.55, average training loss: 31724.61, base loss: 5132.02
[INFO 2017-06-26 21:57:55,835 main.py:47] epoch 27, training loss: 8997.68, average training loss: 30912.93, base loss: 5226.77
[INFO 2017-06-26 21:57:56,208 main.py:47] epoch 28, training loss: 5370.86, average training loss: 30032.17, base loss: 5198.74
[INFO 2017-06-26 21:57:56,583 main.py:47] epoch 29, training loss: 5390.46, average training loss: 29210.78, base loss: 5175.27
[INFO 2017-06-26 21:57:56,958 main.py:47] epoch 30, training loss: 5416.43, average training loss: 28443.22, base loss: 5159.28
[INFO 2017-06-26 21:57:57,343 main.py:47] epoch 31, training loss: 4963.89, average training loss: 27709.49, base loss: 5132.78
[INFO 2017-06-26 21:57:57,734 main.py:47] epoch 32, training loss: 6209.62, average training loss: 27057.98, base loss: 5150.74
