[INFO 2017-06-29 17:07:30,051 main.py:175] Namespace(batch_size=32, display=False, flow_dir='flow', flow_video_dir='flow-video', flow_video_fps=1, image_size=64, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=4, num_channel=3, num_inputs=2, save_dir='./model', test=False, test_dir='/home/yi/Downloads/mpii-test-64', test_epoch=10, test_interval=100, test_video=False, train=True, train_dir='/home/yi/Downloads/mpii-64', train_epoch=100000)
[INFO 2017-06-29 17:07:35,183 main.py:57] epoch 0, training loss: 41729.07, average training loss: 41729.07, base loss: 15516.35
[INFO 2017-06-29 17:07:37,642 main.py:57] epoch 1, training loss: 35006.80, average training loss: 38367.94, base loss: 15811.44
[INFO 2017-06-29 17:07:40,047 main.py:57] epoch 2, training loss: 33395.05, average training loss: 36710.31, base loss: 15619.50
[INFO 2017-06-29 17:07:42,729 main.py:57] epoch 3, training loss: 28038.84, average training loss: 34542.44, base loss: 15849.76
[INFO 2017-06-29 17:07:45,066 main.py:57] epoch 4, training loss: 26905.17, average training loss: 33014.99, base loss: 16419.72
[INFO 2017-06-29 17:07:47,504 main.py:57] epoch 5, training loss: 23473.37, average training loss: 31424.72, base loss: 15951.12
[INFO 2017-06-29 17:07:49,861 main.py:57] epoch 6, training loss: 22225.87, average training loss: 30110.60, base loss: 15708.53
[INFO 2017-06-29 17:07:52,459 main.py:57] epoch 7, training loss: 21245.24, average training loss: 29002.43, base loss: 15610.51
[INFO 2017-06-29 17:07:54,899 main.py:57] epoch 8, training loss: 20892.88, average training loss: 28101.37, base loss: 15736.45
[INFO 2017-06-29 17:07:57,332 main.py:57] epoch 9, training loss: 18152.20, average training loss: 27106.45, base loss: 15616.49
[INFO 2017-06-29 17:07:59,801 main.py:57] epoch 10, training loss: 17145.18, average training loss: 26200.88, base loss: 15524.88
[INFO 2017-06-29 17:08:02,158 main.py:57] epoch 11, training loss: 16150.39, average training loss: 25363.34, base loss: 15550.13
[INFO 2017-06-29 17:08:04,723 main.py:57] epoch 12, training loss: 14358.63, average training loss: 24516.82, base loss: 15389.55
[INFO 2017-06-29 17:08:07,224 main.py:57] epoch 13, training loss: 14391.41, average training loss: 23793.58, base loss: 15330.40
[INFO 2017-06-29 17:08:09,656 main.py:57] epoch 14, training loss: 13710.03, average training loss: 23121.34, base loss: 15262.78
[INFO 2017-06-29 17:08:12,217 main.py:57] epoch 15, training loss: 13244.91, average training loss: 22504.07, base loss: 15219.00
[INFO 2017-06-29 17:08:15,051 main.py:57] epoch 16, training loss: 12903.02, average training loss: 21939.30, base loss: 15187.11
[INFO 2017-06-29 17:08:18,097 main.py:57] epoch 17, training loss: 13327.38, average training loss: 21460.86, base loss: 15206.29
[INFO 2017-06-29 17:08:21,215 main.py:57] epoch 18, training loss: 12939.19, average training loss: 21012.35, base loss: 15255.67
[INFO 2017-06-29 17:08:24,264 main.py:57] epoch 19, training loss: 11648.21, average training loss: 20544.14, base loss: 15209.69
[INFO 2017-06-29 17:08:27,349 main.py:57] epoch 20, training loss: 11855.74, average training loss: 20130.41, base loss: 15176.79
[INFO 2017-06-29 17:08:30,472 main.py:57] epoch 21, training loss: 12211.29, average training loss: 19770.45, base loss: 15215.81
[INFO 2017-06-29 17:08:33,588 main.py:57] epoch 22, training loss: 12894.58, average training loss: 19471.50, base loss: 15285.89
[INFO 2017-06-29 17:08:36,625 main.py:57] epoch 23, training loss: 11024.89, average training loss: 19119.56, base loss: 15276.19
[INFO 2017-06-29 17:08:39,665 main.py:57] epoch 24, training loss: 10529.04, average training loss: 18775.93, base loss: 15247.84
[INFO 2017-06-29 17:08:42,780 main.py:57] epoch 25, training loss: 12012.78, average training loss: 18515.81, base loss: 15305.21
[INFO 2017-06-29 17:08:45,830 main.py:57] epoch 26, training loss: 10764.65, average training loss: 18228.73, base loss: 15318.68
[INFO 2017-06-29 17:08:48,917 main.py:57] epoch 27, training loss: 11467.79, average training loss: 17987.27, base loss: 15377.78
[INFO 2017-06-29 17:08:52,095 main.py:57] epoch 28, training loss: 11730.41, average training loss: 17771.52, base loss: 15413.95
[INFO 2017-06-29 17:08:55,209 main.py:57] epoch 29, training loss: 10213.89, average training loss: 17519.60, base loss: 15384.14
[INFO 2017-06-29 17:08:58,309 main.py:57] epoch 30, training loss: 10172.44, average training loss: 17282.59, base loss: 15367.31
[INFO 2017-06-29 17:09:01,341 main.py:57] epoch 31, training loss: 10166.28, average training loss: 17060.21, base loss: 15361.28
[INFO 2017-06-29 17:09:04,384 main.py:57] epoch 32, training loss: 10379.28, average training loss: 16857.75, base loss: 15371.24
[INFO 2017-06-29 17:09:07,435 main.py:57] epoch 33, training loss: 10552.35, average training loss: 16672.30, base loss: 15387.21
[INFO 2017-06-29 17:09:10,385 main.py:57] epoch 34, training loss: 10501.19, average training loss: 16495.98, base loss: 15379.65
[INFO 2017-06-29 17:09:13,480 main.py:57] epoch 35, training loss: 10452.42, average training loss: 16328.11, base loss: 15391.46
[INFO 2017-06-29 17:09:16,529 main.py:57] epoch 36, training loss: 9770.39, average training loss: 16150.87, base loss: 15377.66
[INFO 2017-06-29 17:09:19,670 main.py:57] epoch 37, training loss: 10761.73, average training loss: 16009.05, base loss: 15388.08
[INFO 2017-06-29 17:09:22,716 main.py:57] epoch 38, training loss: 9683.47, average training loss: 15846.86, base loss: 15383.85
[INFO 2017-06-29 17:09:25,692 main.py:57] epoch 39, training loss: 10780.52, average training loss: 15720.20, base loss: 15393.31
[INFO 2017-06-29 17:09:28,881 main.py:57] epoch 40, training loss: 11248.06, average training loss: 15611.12, base loss: 15422.26
[INFO 2017-06-29 17:09:31,887 main.py:57] epoch 41, training loss: 10864.21, average training loss: 15498.10, base loss: 15446.55
[INFO 2017-06-29 17:09:34,937 main.py:57] epoch 42, training loss: 9668.21, average training loss: 15362.52, base loss: 15422.66
[INFO 2017-06-29 17:09:37,999 main.py:57] epoch 43, training loss: 9377.84, average training loss: 15226.51, base loss: 15386.76
[INFO 2017-06-29 17:09:40,994 main.py:57] epoch 44, training loss: 10227.76, average training loss: 15115.42, base loss: 15393.27
[INFO 2017-06-29 17:09:44,010 main.py:57] epoch 45, training loss: 10879.44, average training loss: 15023.34, base loss: 15427.23
[INFO 2017-06-29 17:09:47,050 main.py:57] epoch 46, training loss: 10079.23, average training loss: 14918.14, base loss: 15422.67
[INFO 2017-06-29 17:09:50,124 main.py:57] epoch 47, training loss: 10750.32, average training loss: 14831.31, base loss: 15450.93
[INFO 2017-06-29 17:09:53,146 main.py:57] epoch 48, training loss: 8883.15, average training loss: 14709.92, base loss: 15412.20
[INFO 2017-06-29 17:09:56,150 main.py:57] epoch 49, training loss: 9543.95, average training loss: 14606.60, base loss: 15417.56
[INFO 2017-06-29 17:09:59,172 main.py:57] epoch 50, training loss: 9755.94, average training loss: 14511.49, base loss: 15405.70
[INFO 2017-06-29 17:10:02,206 main.py:57] epoch 51, training loss: 9630.92, average training loss: 14417.63, base loss: 15394.43
[INFO 2017-06-29 17:10:05,259 main.py:57] epoch 52, training loss: 10366.94, average training loss: 14341.21, base loss: 15408.08
[INFO 2017-06-29 17:10:08,385 main.py:57] epoch 53, training loss: 8995.34, average training loss: 14242.21, base loss: 15392.79
[INFO 2017-06-29 17:10:11,393 main.py:57] epoch 54, training loss: 11443.92, average training loss: 14191.33, base loss: 15431.18
[INFO 2017-06-29 17:10:14,397 main.py:57] epoch 55, training loss: 9248.90, average training loss: 14103.07, base loss: 15425.28
[INFO 2017-06-29 17:10:17,427 main.py:57] epoch 56, training loss: 10421.39, average training loss: 14038.48, base loss: 15448.75
[INFO 2017-06-29 17:10:20,420 main.py:57] epoch 57, training loss: 10349.26, average training loss: 13974.87, base loss: 15448.59
[INFO 2017-06-29 17:10:23,446 main.py:57] epoch 58, training loss: 9681.91, average training loss: 13902.11, base loss: 15451.52
[INFO 2017-06-29 17:10:26,530 main.py:57] epoch 59, training loss: 9251.52, average training loss: 13824.60, base loss: 15434.65
[INFO 2017-06-29 17:10:29,549 main.py:57] epoch 60, training loss: 10175.74, average training loss: 13764.78, base loss: 15452.88
[INFO 2017-06-29 17:10:32,625 main.py:57] epoch 61, training loss: 9519.83, average training loss: 13696.32, base loss: 15443.83
[INFO 2017-06-29 17:10:35,624 main.py:57] epoch 62, training loss: 10302.10, average training loss: 13642.44, base loss: 15455.50
[INFO 2017-06-29 17:10:38,719 main.py:57] epoch 63, training loss: 11063.56, average training loss: 13602.15, base loss: 15479.00
[INFO 2017-06-29 17:10:41,739 main.py:57] epoch 64, training loss: 9683.70, average training loss: 13541.86, base loss: 15476.53
[INFO 2017-06-29 17:10:44,868 main.py:57] epoch 65, training loss: 9489.74, average training loss: 13480.47, base loss: 15462.35
[INFO 2017-06-29 17:10:47,843 main.py:57] epoch 66, training loss: 10060.65, average training loss: 13429.42, base loss: 15456.13
[INFO 2017-06-29 17:10:50,893 main.py:57] epoch 67, training loss: 8657.36, average training loss: 13359.25, base loss: 15432.78
[INFO 2017-06-29 17:10:53,865 main.py:57] epoch 68, training loss: 9772.43, average training loss: 13307.26, base loss: 15428.68
[INFO 2017-06-29 17:10:56,968 main.py:57] epoch 69, training loss: 9417.30, average training loss: 13251.69, base loss: 15416.13
[INFO 2017-06-29 17:10:59,977 main.py:57] epoch 70, training loss: 9036.41, average training loss: 13192.32, base loss: 15404.02
[INFO 2017-06-29 17:11:03,049 main.py:57] epoch 71, training loss: 10581.52, average training loss: 13156.06, base loss: 15408.05
[INFO 2017-06-29 17:11:06,105 main.py:57] epoch 72, training loss: 9148.37, average training loss: 13101.16, base loss: 15391.89
[INFO 2017-06-29 17:11:09,048 main.py:57] epoch 73, training loss: 9455.08, average training loss: 13051.89, base loss: 15383.04
[INFO 2017-06-29 17:11:12,027 main.py:57] epoch 74, training loss: 9581.52, average training loss: 13005.62, base loss: 15379.60
[INFO 2017-06-29 17:11:15,038 main.py:57] epoch 75, training loss: 8897.45, average training loss: 12951.56, base loss: 15362.37
[INFO 2017-06-29 17:11:18,105 main.py:57] epoch 76, training loss: 9398.55, average training loss: 12905.42, base loss: 15360.02
[INFO 2017-06-29 17:11:21,038 main.py:57] epoch 77, training loss: 10855.70, average training loss: 12879.14, base loss: 15383.86
[INFO 2017-06-29 17:11:24,088 main.py:57] epoch 78, training loss: 8031.75, average training loss: 12817.78, base loss: 15359.18
[INFO 2017-06-29 17:11:27,243 main.py:57] epoch 79, training loss: 10114.50, average training loss: 12783.99, base loss: 15355.06
[INFO 2017-06-29 17:11:30,211 main.py:57] epoch 80, training loss: 10222.80, average training loss: 12752.37, base loss: 15375.65
[INFO 2017-06-29 17:11:33,248 main.py:57] epoch 81, training loss: 9224.29, average training loss: 12709.35, base loss: 15359.84
[INFO 2017-06-29 17:11:36,279 main.py:57] epoch 82, training loss: 9321.97, average training loss: 12668.54, base loss: 15359.10
[INFO 2017-06-29 17:11:39,188 main.py:57] epoch 83, training loss: 12036.53, average training loss: 12661.01, base loss: 15397.03
[INFO 2017-06-29 17:11:42,311 main.py:57] epoch 84, training loss: 10790.01, average training loss: 12639.00, base loss: 15409.68
[INFO 2017-06-29 17:11:45,377 main.py:57] epoch 85, training loss: 10112.02, average training loss: 12609.62, base loss: 15421.45
[INFO 2017-06-29 17:11:48,470 main.py:57] epoch 86, training loss: 11317.76, average training loss: 12594.77, base loss: 15447.23
[INFO 2017-06-29 17:11:51,480 main.py:57] epoch 87, training loss: 9563.01, average training loss: 12560.32, base loss: 15445.34
[INFO 2017-06-29 17:11:54,559 main.py:57] epoch 88, training loss: 9174.98, average training loss: 12522.28, base loss: 15440.14
[INFO 2017-06-29 17:11:57,586 main.py:57] epoch 89, training loss: 9153.49, average training loss: 12484.85, base loss: 15428.49
[INFO 2017-06-29 17:12:00,598 main.py:57] epoch 90, training loss: 8269.27, average training loss: 12438.52, base loss: 15409.73
[INFO 2017-06-29 17:12:03,606 main.py:57] epoch 91, training loss: 9712.61, average training loss: 12408.89, base loss: 15419.67
[INFO 2017-06-29 17:12:06,579 main.py:57] epoch 92, training loss: 11487.68, average training loss: 12398.99, base loss: 15451.54
[INFO 2017-06-29 17:12:09,675 main.py:57] epoch 93, training loss: 10615.36, average training loss: 12380.01, base loss: 15474.55
[INFO 2017-06-29 17:12:12,783 main.py:57] epoch 94, training loss: 11046.24, average training loss: 12365.97, base loss: 15494.20
[INFO 2017-06-29 17:12:15,778 main.py:57] epoch 95, training loss: 9524.68, average training loss: 12336.38, base loss: 15493.37
[INFO 2017-06-29 17:12:18,855 main.py:57] epoch 96, training loss: 9880.81, average training loss: 12311.06, base loss: 15509.91
[INFO 2017-06-29 17:12:21,861 main.py:57] epoch 97, training loss: 9112.97, average training loss: 12278.43, base loss: 15512.17
[INFO 2017-06-29 17:12:24,902 main.py:57] epoch 98, training loss: 9418.99, average training loss: 12249.54, base loss: 15522.40
[INFO 2017-06-29 17:12:27,879 main.py:57] epoch 99, training loss: 9361.52, average training loss: 12220.66, base loss: 15524.89
[INFO 2017-06-29 17:12:27,880 main.py:59] epoch 99, testing
[INFO 2017-06-29 17:12:40,708 main.py:104] average testing loss: 10052.19, base loss: 16241.69
[INFO 2017-06-29 17:12:40,709 main.py:105] improve_loss: 6189.50, improve_percent: 0.38
[INFO 2017-06-29 17:12:40,710 main.py:67] model save to ./model/final.pth
[INFO 2017-06-29 17:12:40,735 main.py:71] current best improved percent: 0.38
