[INFO 2017-06-28 23:36:23,380 main.py:175] Namespace(batch_size=32, display=False, flow_dir='flow', flow_video_dir='flow-video', flow_video_fps=1, image_size=64, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=4, num_channel=3, num_inputs=2, save_dir='./model', test=False, test_dir='/home/yi/Downloads/mpii-test-64', test_epoch=10, test_interval=100, test_video=False, train=True, train_dir='/home/yi/Downloads/mpii-64', train_epoch=100000)
[INFO 2017-06-28 23:36:28,203 main.py:57] epoch 0, training loss: 44957.91, average training loss: 44957.91, base loss: 22071.15
[INFO 2017-06-28 23:36:30,368 main.py:57] epoch 1, training loss: 37102.17, average training loss: 41030.04, base loss: 20918.76
[INFO 2017-06-28 23:36:32,578 main.py:57] epoch 2, training loss: 34114.63, average training loss: 38724.90, base loss: 21428.57
[INFO 2017-06-28 23:36:34,836 main.py:57] epoch 3, training loss: 31415.31, average training loss: 36897.51, base loss: 22095.99
[INFO 2017-06-28 23:36:36,915 main.py:57] epoch 4, training loss: 27665.62, average training loss: 35051.13, base loss: 22127.86
[INFO 2017-06-28 23:36:39,220 main.py:57] epoch 5, training loss: 26668.56, average training loss: 33654.03, base loss: 22067.48
[INFO 2017-06-28 23:36:41,498 main.py:57] epoch 6, training loss: 24665.34, average training loss: 32369.93, base loss: 22322.05
[INFO 2017-06-28 23:36:43,746 main.py:57] epoch 7, training loss: 25193.47, average training loss: 31472.88, base loss: 22541.62
[INFO 2017-06-28 23:36:46,016 main.py:57] epoch 8, training loss: 23975.32, average training loss: 30639.82, base loss: 22586.96
[INFO 2017-06-28 23:36:48,255 main.py:57] epoch 9, training loss: 21353.76, average training loss: 29711.21, base loss: 22498.40
[INFO 2017-06-28 23:36:50,519 main.py:57] epoch 10, training loss: 20754.85, average training loss: 28897.00, base loss: 22361.24
[INFO 2017-06-28 23:36:52,782 main.py:57] epoch 11, training loss: 22342.73, average training loss: 28350.81, base loss: 22543.32
[INFO 2017-06-28 23:36:54,964 main.py:57] epoch 12, training loss: 20771.14, average training loss: 27767.76, base loss: 22559.62
[INFO 2017-06-28 23:36:57,167 main.py:57] epoch 13, training loss: 19701.02, average training loss: 27191.56, base loss: 22607.55
[INFO 2017-06-28 23:36:59,487 main.py:57] epoch 14, training loss: 18429.88, average training loss: 26607.45, base loss: 22592.29
