[INFO 2017-06-29 19:53:02,676 main.py:175] Namespace(batch_size=32, display=False, flow_dir='flow', flow_video_dir='flow-video', flow_video_fps=1, image_size=64, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=4, num_channel=3, num_inputs=2, save_dir='./model', test=False, test_dir='/home/yi/Downloads/mpii-test-64', test_epoch=10, test_interval=100, test_video=False, train=True, train_dir='/home/yi/Downloads/mpii-test-64', train_epoch=100000)
[INFO 2017-06-29 19:53:07,068 main.py:57] epoch 0, training loss: 39605.25, average training loss: 39605.25, base loss: 16883.70
[INFO 2017-06-29 19:53:09,292 main.py:57] epoch 1, training loss: 35286.16, average training loss: 37445.71, base loss: 17708.82
[INFO 2017-06-29 19:53:11,473 main.py:57] epoch 2, training loss: 30770.18, average training loss: 35220.53, base loss: 17687.40
[INFO 2017-06-29 19:53:13,706 main.py:57] epoch 3, training loss: 26618.72, average training loss: 33070.08, base loss: 17034.11
[INFO 2017-06-29 19:53:15,897 main.py:57] epoch 4, training loss: 24385.12, average training loss: 31333.09, base loss: 16770.10
[INFO 2017-06-29 19:53:18,153 main.py:57] epoch 5, training loss: 23508.23, average training loss: 30028.94, base loss: 16725.04
[INFO 2017-06-29 19:53:20,466 main.py:57] epoch 6, training loss: 20817.18, average training loss: 28712.98, base loss: 16544.84
[INFO 2017-06-29 19:53:23,048 main.py:57] epoch 7, training loss: 18864.02, average training loss: 27481.86, base loss: 16330.60
[INFO 2017-06-29 19:53:25,892 main.py:57] epoch 8, training loss: 18048.69, average training loss: 26433.73, base loss: 16248.95
[INFO 2017-06-29 19:53:28,770 main.py:57] epoch 9, training loss: 17706.80, average training loss: 25561.03, base loss: 16202.37
[INFO 2017-06-29 19:53:31,619 main.py:57] epoch 10, training loss: 15297.32, average training loss: 24627.97, base loss: 16098.98
[INFO 2017-06-29 19:53:34,458 main.py:57] epoch 11, training loss: 14428.71, average training loss: 23778.03, base loss: 15998.17
[INFO 2017-06-29 19:53:37,366 main.py:57] epoch 12, training loss: 14697.82, average training loss: 23079.55, base loss: 16018.64
[INFO 2017-06-29 19:53:40,212 main.py:57] epoch 13, training loss: 13482.52, average training loss: 22394.05, base loss: 15968.02
[INFO 2017-06-29 19:53:43,090 main.py:57] epoch 14, training loss: 15202.64, average training loss: 21914.62, base loss: 16106.19
[INFO 2017-06-29 19:53:45,960 main.py:57] epoch 15, training loss: 13454.31, average training loss: 21385.85, base loss: 16068.62
[INFO 2017-06-29 19:53:48,888 main.py:57] epoch 16, training loss: 13226.57, average training loss: 20905.90, base loss: 16061.28
[INFO 2017-06-29 19:53:51,740 main.py:57] epoch 17, training loss: 12936.09, average training loss: 20463.13, base loss: 16062.58
[INFO 2017-06-29 19:53:54,619 main.py:57] epoch 18, training loss: 11756.77, average training loss: 20004.90, base loss: 16037.74
[INFO 2017-06-29 19:53:57,472 main.py:57] epoch 19, training loss: 13081.58, average training loss: 19658.73, base loss: 16106.09
[INFO 2017-06-29 19:54:00,319 main.py:57] epoch 20, training loss: 12654.50, average training loss: 19325.20, base loss: 16128.82
[INFO 2017-06-29 19:54:03,218 main.py:57] epoch 21, training loss: 11978.70, average training loss: 18991.27, base loss: 16132.69
[INFO 2017-06-29 19:54:06,117 main.py:57] epoch 22, training loss: 10582.17, average training loss: 18625.65, base loss: 16048.75
[INFO 2017-06-29 19:54:08,986 main.py:57] epoch 23, training loss: 10930.10, average training loss: 18305.01, base loss: 16034.97
[INFO 2017-06-29 19:54:11,861 main.py:57] epoch 24, training loss: 13096.56, average training loss: 18096.67, base loss: 16143.59
[INFO 2017-06-29 19:54:14,710 main.py:57] epoch 25, training loss: 11007.96, average training loss: 17824.03, base loss: 16120.41
[INFO 2017-06-29 19:54:17,590 main.py:57] epoch 26, training loss: 11526.83, average training loss: 17590.80, base loss: 16126.94
[INFO 2017-06-29 19:54:20,502 main.py:57] epoch 27, training loss: 11109.75, average training loss: 17359.33, base loss: 16137.74
[INFO 2017-06-29 19:54:23,345 main.py:57] epoch 28, training loss: 10919.46, average training loss: 17137.27, base loss: 16131.34
[INFO 2017-06-29 19:54:26,208 main.py:57] epoch 29, training loss: 11224.92, average training loss: 16940.19, base loss: 16147.32
