[INFO 2017-06-27 21:02:51,082 main.py:176] Namespace(batch_size=32, display=False, flow_dir='flow', flow_video_dir='flow-video', flow_video_fps=25, image_size=64, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=4, num_channel=3, num_inputs=3, save_dir='./model', test=False, test_dir='/home/yi/Downloads/mpii-64-few', test_epoch=10, test_interval=100, test_video=False, train=True, train_dir='/home/yi/Downloads/mpii-64-few', train_epoch=10000)
[INFO 2017-06-27 21:02:53,945 main.py:51] epoch 0, training loss: 41762.94, average training loss: 41762.94, base loss: 20271.77
[INFO 2017-06-27 21:02:54,681 main.py:51] epoch 1, training loss: 35821.89, average training loss: 38792.41, base loss: 17487.37
[INFO 2017-06-27 21:02:55,424 main.py:51] epoch 2, training loss: 35772.85, average training loss: 37785.89, base loss: 18884.08
[INFO 2017-06-27 21:02:56,165 main.py:51] epoch 3, training loss: 33315.13, average training loss: 36668.20, base loss: 19978.81
[INFO 2017-06-27 21:02:56,904 main.py:51] epoch 4, training loss: 27114.64, average training loss: 34757.49, base loss: 19404.51
[INFO 2017-06-27 21:02:57,673 main.py:51] epoch 5, training loss: 29600.65, average training loss: 33898.02, base loss: 20335.56
[INFO 2017-06-27 21:02:58,429 main.py:51] epoch 6, training loss: 25949.38, average training loss: 32762.50, base loss: 20261.89
[INFO 2017-06-27 21:02:59,178 main.py:51] epoch 7, training loss: 24682.82, average training loss: 31752.54, base loss: 20383.97
[INFO 2017-06-27 21:02:59,925 main.py:51] epoch 8, training loss: 21753.93, average training loss: 30641.58, base loss: 19975.32
[INFO 2017-06-27 21:03:00,673 main.py:51] epoch 9, training loss: 24160.39, average training loss: 29993.46, base loss: 20004.41
[INFO 2017-06-27 21:03:01,419 main.py:51] epoch 10, training loss: 22025.21, average training loss: 29269.07, base loss: 19896.29
[INFO 2017-06-27 21:03:02,164 main.py:51] epoch 11, training loss: 23525.95, average training loss: 28790.48, base loss: 19931.42
[INFO 2017-06-27 21:03:02,906 main.py:51] epoch 12, training loss: 22554.48, average training loss: 28310.79, base loss: 19923.45
[INFO 2017-06-27 21:03:03,671 main.py:51] epoch 13, training loss: 24363.97, average training loss: 28028.87, base loss: 20050.94
[INFO 2017-06-27 21:03:04,417 main.py:51] epoch 14, training loss: 20314.18, average training loss: 27514.56, base loss: 19954.84
[INFO 2017-06-27 21:03:05,182 main.py:51] epoch 15, training loss: 22551.06, average training loss: 27204.34, base loss: 20042.56
[INFO 2017-06-27 21:03:06,004 main.py:51] epoch 16, training loss: 22527.71, average training loss: 26929.25, base loss: 20136.83
[INFO 2017-06-27 21:03:06,892 main.py:51] epoch 17, training loss: 16953.37, average training loss: 26375.03, base loss: 19869.71
[INFO 2017-06-27 21:03:07,855 main.py:51] epoch 18, training loss: 18459.55, average training loss: 25958.43, base loss: 19757.79
[INFO 2017-06-27 21:03:08,825 main.py:51] epoch 19, training loss: 19391.92, average training loss: 25630.10, base loss: 19726.04
[INFO 2017-06-27 21:03:09,797 main.py:51] epoch 20, training loss: 23287.11, average training loss: 25518.53, base loss: 19908.59
[INFO 2017-06-27 21:03:10,770 main.py:51] epoch 21, training loss: 19323.84, average training loss: 25236.95, base loss: 19887.81
[INFO 2017-06-27 21:03:11,745 main.py:51] epoch 22, training loss: 16349.88, average training loss: 24850.56, base loss: 19711.76
[INFO 2017-06-27 21:03:12,716 main.py:51] epoch 23, training loss: 16517.88, average training loss: 24503.36, base loss: 19551.53
[INFO 2017-06-27 21:03:13,687 main.py:51] epoch 24, training loss: 19721.41, average training loss: 24312.09, base loss: 19587.34
[INFO 2017-06-27 21:03:14,660 main.py:51] epoch 25, training loss: 17638.27, average training loss: 24055.40, base loss: 19520.12
[INFO 2017-06-27 21:03:15,629 main.py:51] epoch 26, training loss: 18449.17, average training loss: 23847.76, base loss: 19510.73
[INFO 2017-06-27 21:03:16,603 main.py:51] epoch 27, training loss: 22317.96, average training loss: 23793.13, base loss: 19654.26
[INFO 2017-06-27 21:03:17,576 main.py:51] epoch 28, training loss: 17773.63, average training loss: 23585.56, base loss: 19609.60
[INFO 2017-06-27 21:03:18,549 main.py:51] epoch 29, training loss: 16949.80, average training loss: 23364.37, base loss: 19540.11
[INFO 2017-06-27 21:03:19,522 main.py:51] epoch 30, training loss: 20721.80, average training loss: 23279.12, base loss: 19609.15
[INFO 2017-06-27 21:03:20,491 main.py:51] epoch 31, training loss: 18224.84, average training loss: 23121.18, base loss: 19594.00
[INFO 2017-06-27 21:03:21,462 main.py:51] epoch 32, training loss: 19892.66, average training loss: 23023.34, base loss: 19642.98
[INFO 2017-06-27 21:03:22,435 main.py:51] epoch 33, training loss: 17657.38, average training loss: 22865.52, base loss: 19616.44
[INFO 2017-06-27 21:03:23,404 main.py:51] epoch 34, training loss: 18774.93, average training loss: 22748.65, base loss: 19611.21
[INFO 2017-06-27 21:03:24,376 main.py:51] epoch 35, training loss: 23028.81, average training loss: 22756.43, base loss: 19761.58
[INFO 2017-06-27 21:03:25,345 main.py:51] epoch 36, training loss: 19215.94, average training loss: 22660.74, base loss: 19774.23
[INFO 2017-06-27 21:03:26,315 main.py:51] epoch 37, training loss: 21049.93, average training loss: 22618.35, base loss: 19857.66
[INFO 2017-06-27 21:03:27,292 main.py:51] epoch 38, training loss: 19976.54, average training loss: 22550.61, base loss: 19895.95
[INFO 2017-06-27 21:03:28,264 main.py:51] epoch 39, training loss: 18067.91, average training loss: 22438.54, base loss: 19882.55
[INFO 2017-06-27 21:03:29,234 main.py:51] epoch 40, training loss: 17877.07, average training loss: 22327.29, base loss: 19866.33
[INFO 2017-06-27 21:03:30,204 main.py:51] epoch 41, training loss: 20209.10, average training loss: 22276.85, base loss: 19909.94
[INFO 2017-06-27 21:03:31,178 main.py:51] epoch 42, training loss: 18809.46, average training loss: 22196.22, base loss: 19922.55
[INFO 2017-06-27 21:03:32,152 main.py:51] epoch 43, training loss: 18691.55, average training loss: 22116.57, base loss: 19924.67
[INFO 2017-06-27 21:03:33,125 main.py:51] epoch 44, training loss: 17047.24, average training loss: 22003.91, base loss: 19890.33
[INFO 2017-06-27 21:03:34,099 main.py:51] epoch 45, training loss: 17555.35, average training loss: 21907.21, base loss: 19860.35
[INFO 2017-06-27 21:03:35,069 main.py:51] epoch 46, training loss: 17765.71, average training loss: 21819.09, base loss: 19847.10
[INFO 2017-06-27 21:03:36,042 main.py:51] epoch 47, training loss: 16180.88, average training loss: 21701.63, base loss: 19791.01
[INFO 2017-06-27 21:03:37,014 main.py:51] epoch 48, training loss: 19103.72, average training loss: 21648.61, base loss: 19803.35
[INFO 2017-06-27 21:03:37,985 main.py:51] epoch 49, training loss: 20316.45, average training loss: 21621.97, base loss: 19854.47
[INFO 2017-06-27 21:03:38,957 main.py:51] epoch 50, training loss: 22167.11, average training loss: 21632.65, base loss: 19937.62
[INFO 2017-06-27 21:03:39,927 main.py:51] epoch 51, training loss: 17197.10, average training loss: 21547.36, base loss: 19919.64
[INFO 2017-06-27 21:03:40,901 main.py:51] epoch 52, training loss: 18250.67, average training loss: 21485.15, base loss: 19925.93
[INFO 2017-06-27 21:03:41,872 main.py:51] epoch 53, training loss: 21504.47, average training loss: 21485.51, base loss: 19987.10
[INFO 2017-06-27 21:03:42,842 main.py:51] epoch 54, training loss: 17528.77, average training loss: 21413.57, base loss: 19964.51
[INFO 2017-06-27 21:03:43,814 main.py:51] epoch 55, training loss: 19017.32, average training loss: 21370.78, base loss: 19973.67
[INFO 2017-06-27 21:03:44,788 main.py:51] epoch 56, training loss: 17978.31, average training loss: 21311.26, base loss: 19965.27
[INFO 2017-06-27 21:03:45,763 main.py:51] epoch 57, training loss: 22174.06, average training loss: 21326.14, base loss: 20043.66
[INFO 2017-06-27 21:03:46,735 main.py:51] epoch 58, training loss: 16959.87, average training loss: 21252.13, base loss: 20004.86
[INFO 2017-06-27 21:03:47,705 main.py:51] epoch 59, training loss: 17618.24, average training loss: 21191.57, base loss: 19995.99
[INFO 2017-06-27 21:03:48,678 main.py:51] epoch 60, training loss: 18067.17, average training loss: 21140.35, base loss: 19988.28
[INFO 2017-06-27 21:03:49,653 main.py:51] epoch 61, training loss: 15985.19, average training loss: 21057.20, base loss: 19940.54
[INFO 2017-06-27 21:03:50,623 main.py:51] epoch 62, training loss: 20744.87, average training loss: 21052.24, base loss: 19985.47
[INFO 2017-06-27 21:03:51,602 main.py:51] epoch 63, training loss: 17845.36, average training loss: 21002.14, base loss: 19979.72
[INFO 2017-06-27 21:03:52,575 main.py:51] epoch 64, training loss: 18099.36, average training loss: 20957.48, base loss: 19975.62
[INFO 2017-06-27 21:03:53,547 main.py:51] epoch 65, training loss: 17464.83, average training loss: 20904.56, base loss: 19961.72
[INFO 2017-06-27 21:03:54,520 main.py:51] epoch 66, training loss: 19970.18, average training loss: 20890.61, base loss: 19996.04
[INFO 2017-06-27 21:03:55,493 main.py:51] epoch 67, training loss: 16549.95, average training loss: 20826.78, base loss: 19969.83
[INFO 2017-06-27 21:03:56,468 main.py:51] epoch 68, training loss: 16478.19, average training loss: 20763.76, base loss: 19936.50
[INFO 2017-06-27 21:03:57,441 main.py:51] epoch 69, training loss: 18733.60, average training loss: 20734.76, base loss: 19948.13
[INFO 2017-06-27 21:03:58,416 main.py:51] epoch 70, training loss: 16470.90, average training loss: 20674.70, base loss: 19915.59
[INFO 2017-06-27 21:03:59,392 main.py:51] epoch 71, training loss: 18335.27, average training loss: 20642.21, base loss: 19920.75
[INFO 2017-06-27 21:04:00,368 main.py:51] epoch 72, training loss: 15484.48, average training loss: 20571.56, base loss: 19876.71
