[INFO 2017-07-02 01:36:45,645 main.py:175] Namespace(batch_size=32, display=False, flow_dir='flow', flow_video_dir='flow-video', flow_video_fps=1, image_size=64, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=4, num_channel=3, num_inputs=2, save_dir='./model', test=False, test_dir='/home/yi/Downloads/mpii-test-64', test_epoch=10, test_interval=100, test_video=False, train=True, train_dir='/home/yi/Downloads/mpii-64', train_epoch=100000)
[INFO 2017-07-02 01:36:52,590 main.py:52] epoch 0, training loss: 42687.89, average training loss: 42687.89, base loss: 24067.14
[INFO 2017-07-02 01:36:56,700 main.py:52] epoch 1, training loss: 35279.36, average training loss: 38983.62, base loss: 24148.28
[INFO 2017-07-02 01:37:00,728 main.py:52] epoch 2, training loss: 32346.56, average training loss: 36771.27, base loss: 23608.96
[INFO 2017-07-02 01:37:04,795 main.py:52] epoch 3, training loss: 29868.39, average training loss: 35045.55, base loss: 23788.36
[INFO 2017-07-02 01:37:08,895 main.py:52] epoch 4, training loss: 26882.34, average training loss: 33412.91, base loss: 24193.94
[INFO 2017-07-02 01:37:12,901 main.py:52] epoch 5, training loss: 24477.19, average training loss: 31923.62, base loss: 24305.55
[INFO 2017-07-02 01:37:16,802 main.py:52] epoch 6, training loss: 21657.90, average training loss: 30457.09, base loss: 24124.58
[INFO 2017-07-02 01:37:21,253 main.py:52] epoch 7, training loss: 22321.58, average training loss: 29440.15, base loss: 24131.99
[INFO 2017-07-02 01:37:26,022 main.py:52] epoch 8, training loss: 22866.55, average training loss: 28709.75, base loss: 24532.08
[INFO 2017-07-02 01:37:30,597 main.py:52] epoch 9, training loss: 19622.48, average training loss: 27801.02, base loss: 24446.24
[INFO 2017-07-02 01:37:35,176 main.py:52] epoch 10, training loss: 18838.39, average training loss: 26986.24, base loss: 24411.17
[INFO 2017-07-02 01:37:39,924 main.py:52] epoch 11, training loss: 20095.74, average training loss: 26412.03, base loss: 24599.62
[INFO 2017-07-02 01:37:45,037 main.py:52] epoch 12, training loss: 19735.06, average training loss: 25898.42, base loss: 24744.76
[INFO 2017-07-02 01:37:49,712 main.py:52] epoch 13, training loss: 16833.04, average training loss: 25250.89, base loss: 24608.33
[INFO 2017-07-02 01:37:54,283 main.py:52] epoch 14, training loss: 17484.30, average training loss: 24733.12, base loss: 24632.11
[INFO 2017-07-02 01:37:58,976 main.py:52] epoch 15, training loss: 17575.98, average training loss: 24285.80, base loss: 24635.65
[INFO 2017-07-02 01:38:03,414 main.py:52] epoch 16, training loss: 16677.76, average training loss: 23838.27, base loss: 24558.63
[INFO 2017-07-02 01:38:08,018 main.py:52] epoch 17, training loss: 16857.77, average training loss: 23450.46, base loss: 24569.04
[INFO 2017-07-02 01:38:12,777 main.py:52] epoch 18, training loss: 15925.49, average training loss: 23054.41, base loss: 24545.83
[INFO 2017-07-02 01:38:17,471 main.py:52] epoch 19, training loss: 17240.22, average training loss: 22763.70, base loss: 24568.08
[INFO 2017-07-02 01:38:22,236 main.py:52] epoch 20, training loss: 17448.86, average training loss: 22510.61, base loss: 24632.91
[INFO 2017-07-02 01:38:27,436 main.py:52] epoch 21, training loss: 17731.42, average training loss: 22293.38, base loss: 24715.63
[INFO 2017-07-02 01:38:31,889 main.py:52] epoch 22, training loss: 15164.44, average training loss: 21983.42, base loss: 24692.31
[INFO 2017-07-02 01:38:36,771 main.py:52] epoch 23, training loss: 14929.93, average training loss: 21689.53, base loss: 24615.41
[INFO 2017-07-02 01:38:41,401 main.py:52] epoch 24, training loss: 16610.40, average training loss: 21486.36, base loss: 24667.44
[INFO 2017-07-02 01:38:45,909 main.py:52] epoch 25, training loss: 17987.82, average training loss: 21351.80, base loss: 24769.50
[INFO 2017-07-02 01:38:50,688 main.py:52] epoch 26, training loss: 16942.87, average training loss: 21188.51, base loss: 24843.52
[INFO 2017-07-02 01:38:55,293 main.py:52] epoch 27, training loss: 15430.67, average training loss: 20982.87, base loss: 24837.46
[INFO 2017-07-02 01:38:59,972 main.py:52] epoch 28, training loss: 15835.80, average training loss: 20805.39, base loss: 24858.42
[INFO 2017-07-02 01:39:04,612 main.py:52] epoch 29, training loss: 14916.40, average training loss: 20609.09, base loss: 24828.59
[INFO 2017-07-02 01:39:09,366 main.py:52] epoch 30, training loss: 15547.53, average training loss: 20445.81, base loss: 24880.41
[INFO 2017-07-02 01:39:14,290 main.py:52] epoch 31, training loss: 16617.27, average training loss: 20326.17, base loss: 24963.67
[INFO 2017-07-02 01:39:19,201 main.py:52] epoch 32, training loss: 14672.11, average training loss: 20154.83, base loss: 24906.79
[INFO 2017-07-02 01:39:23,777 main.py:52] epoch 33, training loss: 14339.59, average training loss: 19983.80, base loss: 24855.69
[INFO 2017-07-02 01:39:28,492 main.py:52] epoch 34, training loss: 15419.96, average training loss: 19853.40, base loss: 24884.81
[INFO 2017-07-02 01:39:33,278 main.py:52] epoch 35, training loss: 14620.86, average training loss: 19708.05, base loss: 24823.17
[INFO 2017-07-02 01:39:38,019 main.py:52] epoch 36, training loss: 16137.33, average training loss: 19611.55, base loss: 24844.02
[INFO 2017-07-02 01:39:43,035 main.py:52] epoch 37, training loss: 17740.27, average training loss: 19562.30, base loss: 24888.33
[INFO 2017-07-02 01:39:47,822 main.py:52] epoch 38, training loss: 16633.27, average training loss: 19487.20, base loss: 24910.66
[INFO 2017-07-02 01:39:52,609 main.py:52] epoch 39, training loss: 14460.14, average training loss: 19361.52, base loss: 24883.07
[INFO 2017-07-02 01:39:57,459 main.py:52] epoch 40, training loss: 13935.02, average training loss: 19229.17, base loss: 24820.96
[INFO 2017-07-02 01:40:02,124 main.py:52] epoch 41, training loss: 16185.79, average training loss: 19156.71, base loss: 24846.22
[INFO 2017-07-02 01:40:07,064 main.py:52] epoch 42, training loss: 15084.28, average training loss: 19062.00, base loss: 24841.52
[INFO 2017-07-02 01:40:11,695 main.py:52] epoch 43, training loss: 16384.27, average training loss: 19001.14, base loss: 24857.03
[INFO 2017-07-02 01:40:16,543 main.py:52] epoch 44, training loss: 13691.22, average training loss: 18883.14, base loss: 24802.46
[INFO 2017-07-02 01:40:21,122 main.py:52] epoch 45, training loss: 16025.83, average training loss: 18821.03, base loss: 24823.77
[INFO 2017-07-02 01:40:25,857 main.py:52] epoch 46, training loss: 15309.63, average training loss: 18746.32, base loss: 24829.09
[INFO 2017-07-02 01:40:30,453 main.py:52] epoch 47, training loss: 15947.81, average training loss: 18688.02, base loss: 24844.89
[INFO 2017-07-02 01:40:35,139 main.py:52] epoch 48, training loss: 16050.53, average training loss: 18634.19, base loss: 24869.85
[INFO 2017-07-02 01:40:39,785 main.py:52] epoch 49, training loss: 15023.89, average training loss: 18561.98, base loss: 24863.71
[INFO 2017-07-02 01:40:44,647 main.py:52] epoch 50, training loss: 15669.63, average training loss: 18505.27, base loss: 24869.06
[INFO 2017-07-02 01:40:49,660 main.py:52] epoch 51, training loss: 14509.14, average training loss: 18428.42, base loss: 24864.05
[INFO 2017-07-02 01:40:54,532 main.py:52] epoch 52, training loss: 14328.42, average training loss: 18351.06, base loss: 24847.78
[INFO 2017-07-02 01:40:59,183 main.py:52] epoch 53, training loss: 15663.99, average training loss: 18301.30, base loss: 24884.65
[INFO 2017-07-02 01:41:03,777 main.py:52] epoch 54, training loss: 13804.07, average training loss: 18219.54, base loss: 24861.81
[INFO 2017-07-02 01:41:08,543 main.py:52] epoch 55, training loss: 14119.68, average training loss: 18146.32, base loss: 24848.36
[INFO 2017-07-02 01:41:13,251 main.py:52] epoch 56, training loss: 14633.58, average training loss: 18084.70, base loss: 24852.54
[INFO 2017-07-02 01:41:18,044 main.py:52] epoch 57, training loss: 14869.76, average training loss: 18029.27, base loss: 24851.52
[INFO 2017-07-02 01:41:22,889 main.py:52] epoch 58, training loss: 14608.79, average training loss: 17971.29, base loss: 24841.34
[INFO 2017-07-02 01:41:27,439 main.py:52] epoch 59, training loss: 13954.84, average training loss: 17904.35, base loss: 24834.75
[INFO 2017-07-02 01:41:32,342 main.py:52] epoch 60, training loss: 13883.28, average training loss: 17838.43, base loss: 24810.43
[INFO 2017-07-02 01:41:37,023 main.py:52] epoch 61, training loss: 16312.22, average training loss: 17813.82, base loss: 24827.72
[INFO 2017-07-02 01:41:41,557 main.py:52] epoch 62, training loss: 15417.19, average training loss: 17775.77, base loss: 24840.44
[INFO 2017-07-02 01:41:46,359 main.py:52] epoch 63, training loss: 14029.12, average training loss: 17717.23, base loss: 24812.69
[INFO 2017-07-02 01:41:51,088 main.py:52] epoch 64, training loss: 13748.24, average training loss: 17656.17, base loss: 24798.74
[INFO 2017-07-02 01:41:55,846 main.py:52] epoch 65, training loss: 14011.77, average training loss: 17600.95, base loss: 24763.15
[INFO 2017-07-02 01:42:00,696 main.py:52] epoch 66, training loss: 14286.34, average training loss: 17551.48, base loss: 24779.82
[INFO 2017-07-02 01:42:05,435 main.py:52] epoch 67, training loss: 13677.90, average training loss: 17494.52, base loss: 24778.50
[INFO 2017-07-02 01:42:10,208 main.py:52] epoch 68, training loss: 12994.26, average training loss: 17429.30, base loss: 24752.31
[INFO 2017-07-02 01:42:14,883 main.py:52] epoch 69, training loss: 14842.76, average training loss: 17392.35, base loss: 24758.47
[INFO 2017-07-02 01:42:19,714 main.py:52] epoch 70, training loss: 14414.01, average training loss: 17350.40, base loss: 24759.93
[INFO 2017-07-02 01:42:24,403 main.py:52] epoch 71, training loss: 14805.06, average training loss: 17315.05, base loss: 24766.57
[INFO 2017-07-02 01:42:29,138 main.py:52] epoch 72, training loss: 14172.39, average training loss: 17271.99, base loss: 24747.34
[INFO 2017-07-02 01:42:33,741 main.py:52] epoch 73, training loss: 15825.93, average training loss: 17252.45, base loss: 24747.22
[INFO 2017-07-02 01:42:38,371 main.py:52] epoch 74, training loss: 13651.44, average training loss: 17204.44, base loss: 24731.97
[INFO 2017-07-02 01:42:43,046 main.py:52] epoch 75, training loss: 13401.92, average training loss: 17154.41, base loss: 24718.52
[INFO 2017-07-02 01:42:47,769 main.py:52] epoch 76, training loss: 14453.42, average training loss: 17119.33, base loss: 24712.30
[INFO 2017-07-02 01:42:52,314 main.py:52] epoch 77, training loss: 15763.96, average training loss: 17101.95, base loss: 24719.67
[INFO 2017-07-02 01:42:57,090 main.py:52] epoch 78, training loss: 13615.86, average training loss: 17057.83, base loss: 24704.79
[INFO 2017-07-02 01:43:01,846 main.py:52] epoch 79, training loss: 14312.56, average training loss: 17023.51, base loss: 24702.94
[INFO 2017-07-02 01:43:06,589 main.py:52] epoch 80, training loss: 13941.02, average training loss: 16985.45, base loss: 24706.24
[INFO 2017-07-02 01:43:11,320 main.py:52] epoch 81, training loss: 14355.05, average training loss: 16953.38, base loss: 24702.55
[INFO 2017-07-02 01:43:15,876 main.py:52] epoch 82, training loss: 13422.64, average training loss: 16910.84, base loss: 24683.39
[INFO 2017-07-02 01:43:20,609 main.py:52] epoch 83, training loss: 14762.02, average training loss: 16885.26, base loss: 24669.32
[INFO 2017-07-02 01:43:25,349 main.py:52] epoch 84, training loss: 14401.94, average training loss: 16856.04, base loss: 24655.56
[INFO 2017-07-02 01:43:30,139 main.py:52] epoch 85, training loss: 14840.27, average training loss: 16832.60, base loss: 24662.11
[INFO 2017-07-02 01:43:34,717 main.py:52] epoch 86, training loss: 14657.72, average training loss: 16807.60, base loss: 24672.12
[INFO 2017-07-02 01:43:39,670 main.py:52] epoch 87, training loss: 16826.69, average training loss: 16807.82, base loss: 24698.40
[INFO 2017-07-02 01:43:44,544 main.py:52] epoch 88, training loss: 14440.90, average training loss: 16781.22, base loss: 24704.77
