[INFO 2017-07-01 17:56:47,764 main.py:175] Namespace(batch_size=32, display=False, flow_dir='flow', flow_video_dir='flow-video', flow_video_fps=1, image_size=64, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=4, num_channel=3, num_inputs=2, save_dir='./model', test=False, test_dir='/home/yi/Downloads/mpii-test-64', test_epoch=10, test_interval=100, test_video=False, train=True, train_dir='/home/yi/Downloads/mpii-test-64', train_epoch=100000)
[INFO 2017-07-01 17:56:53,449 main.py:52] epoch 0, training loss: 36971.21, average training loss: 36971.21, base loss: 14543.01
[INFO 2017-07-01 17:56:56,871 main.py:52] epoch 1, training loss: 34208.36, average training loss: 35589.78, base loss: 16656.24
[INFO 2017-07-01 17:57:00,348 main.py:52] epoch 2, training loss: 28005.36, average training loss: 33061.64, base loss: 16391.69
[INFO 2017-07-01 17:57:03,742 main.py:52] epoch 3, training loss: 25507.83, average training loss: 31173.19, base loss: 16744.77
[INFO 2017-07-01 17:57:07,141 main.py:52] epoch 4, training loss: 24065.40, average training loss: 29751.63, base loss: 17147.34
[INFO 2017-07-01 17:57:11,197 main.py:52] epoch 5, training loss: 21272.24, average training loss: 28338.40, base loss: 17146.39
[INFO 2017-07-01 17:57:15,390 main.py:52] epoch 6, training loss: 20427.09, average training loss: 27208.21, base loss: 17371.03
[INFO 2017-07-01 17:57:19,690 main.py:52] epoch 7, training loss: 18618.12, average training loss: 26134.45, base loss: 17426.15
[INFO 2017-07-01 17:57:23,842 main.py:52] epoch 8, training loss: 15288.64, average training loss: 24929.36, base loss: 17114.38
[INFO 2017-07-01 17:57:27,969 main.py:52] epoch 9, training loss: 15451.41, average training loss: 23981.57, base loss: 17088.65
[INFO 2017-07-01 17:57:32,170 main.py:52] epoch 10, training loss: 14528.90, average training loss: 23122.23, base loss: 17065.58
[INFO 2017-07-01 17:57:36,326 main.py:52] epoch 11, training loss: 13611.47, average training loss: 22329.67, base loss: 17037.86
[INFO 2017-07-01 17:57:40,475 main.py:52] epoch 12, training loss: 14517.23, average training loss: 21728.71, base loss: 17117.93
[INFO 2017-07-01 17:57:44,679 main.py:52] epoch 13, training loss: 12584.51, average training loss: 21075.56, base loss: 17069.10
[INFO 2017-07-01 17:57:48,829 main.py:52] epoch 14, training loss: 14453.53, average training loss: 20634.09, base loss: 17248.89
[INFO 2017-07-01 17:57:53,076 main.py:52] epoch 15, training loss: 13318.34, average training loss: 20176.85, base loss: 17312.87
[INFO 2017-07-01 17:57:57,264 main.py:52] epoch 16, training loss: 11858.24, average training loss: 19687.52, base loss: 17275.16
[INFO 2017-07-01 17:58:01,454 main.py:52] epoch 17, training loss: 10255.06, average training loss: 19163.50, base loss: 17110.94
[INFO 2017-07-01 17:58:05,617 main.py:52] epoch 18, training loss: 9778.94, average training loss: 18669.57, base loss: 16945.47
[INFO 2017-07-01 17:58:09,792 main.py:52] epoch 19, training loss: 11804.51, average training loss: 18326.32, base loss: 16953.02
[INFO 2017-07-01 17:58:13,973 main.py:52] epoch 20, training loss: 12706.16, average training loss: 18058.69, base loss: 16992.69
[INFO 2017-07-01 17:58:18,194 main.py:52] epoch 21, training loss: 12179.36, average training loss: 17791.45, base loss: 16997.11
[INFO 2017-07-01 17:58:22,325 main.py:52] epoch 22, training loss: 11879.64, average training loss: 17534.42, base loss: 17003.61
[INFO 2017-07-01 17:58:26,481 main.py:52] epoch 23, training loss: 11248.29, average training loss: 17272.49, base loss: 16975.85
[INFO 2017-07-01 17:58:30,642 main.py:52] epoch 24, training loss: 11163.38, average training loss: 17028.13, base loss: 16959.45
[INFO 2017-07-01 17:58:34,800 main.py:52] epoch 25, training loss: 10168.96, average training loss: 16764.31, base loss: 16868.22
[INFO 2017-07-01 17:58:38,921 main.py:52] epoch 26, training loss: 12030.92, average training loss: 16589.00, base loss: 16874.76
[INFO 2017-07-01 17:58:43,105 main.py:52] epoch 27, training loss: 12794.94, average training loss: 16453.50, base loss: 16938.80
[INFO 2017-07-01 17:58:47,261 main.py:52] epoch 28, training loss: 11031.68, average training loss: 16266.54, base loss: 16918.64
[INFO 2017-07-01 17:58:51,390 main.py:52] epoch 29, training loss: 11964.21, average training loss: 16123.13, base loss: 16931.88
[INFO 2017-07-01 17:58:55,588 main.py:52] epoch 30, training loss: 11300.82, average training loss: 15967.57, base loss: 16931.84
[INFO 2017-07-01 17:58:59,701 main.py:52] epoch 31, training loss: 10768.31, average training loss: 15805.10, base loss: 16890.50
[INFO 2017-07-01 17:59:03,844 main.py:52] epoch 32, training loss: 12622.80, average training loss: 15708.66, base loss: 16940.74
[INFO 2017-07-01 17:59:07,992 main.py:52] epoch 33, training loss: 11274.96, average training loss: 15578.26, base loss: 16941.37
[INFO 2017-07-01 17:59:12,244 main.py:52] epoch 34, training loss: 10538.51, average training loss: 15434.27, base loss: 16902.97
[INFO 2017-07-01 17:59:16,376 main.py:52] epoch 35, training loss: 12755.70, average training loss: 15359.86, base loss: 16956.23
[INFO 2017-07-01 17:59:20,574 main.py:52] epoch 36, training loss: 11105.40, average training loss: 15244.88, base loss: 16952.85
[INFO 2017-07-01 17:59:24,743 main.py:52] epoch 37, training loss: 13004.76, average training loss: 15185.93, base loss: 17004.89
[INFO 2017-07-01 17:59:28,924 main.py:52] epoch 38, training loss: 10842.85, average training loss: 15074.57, base loss: 16995.10
[INFO 2017-07-01 17:59:33,136 main.py:52] epoch 39, training loss: 10913.48, average training loss: 14970.54, base loss: 16989.03
[INFO 2017-07-01 17:59:37,246 main.py:52] epoch 40, training loss: 10266.69, average training loss: 14855.81, base loss: 16942.01
[INFO 2017-07-01 17:59:41,456 main.py:52] epoch 41, training loss: 10269.14, average training loss: 14746.60, base loss: 16920.24
[INFO 2017-07-01 17:59:45,735 main.py:52] epoch 42, training loss: 11405.48, average training loss: 14668.90, base loss: 16937.83
[INFO 2017-07-01 17:59:49,947 main.py:52] epoch 43, training loss: 10731.38, average training loss: 14579.41, base loss: 16931.69
[INFO 2017-07-01 17:59:54,154 main.py:52] epoch 44, training loss: 10426.55, average training loss: 14487.13, base loss: 16898.71
