[INFO 2017-07-01 18:43:08,263 main.py:175] Namespace(batch_size=32, display=False, flow_dir='flow', flow_video_dir='flow-video', flow_video_fps=1, image_size=64, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=4, num_channel=3, num_inputs=2, save_dir='./model', test=False, test_dir='/home/yi/Downloads/mpii-test-64', test_epoch=10, test_interval=100, test_video=False, train=True, train_dir='/home/yi/Downloads/mpii-64', train_epoch=100000)
[INFO 2017-07-01 18:43:14,414 main.py:52] epoch 0, training loss: 41713.17, average training loss: 41713.17, base loss: 16262.62
[INFO 2017-07-01 18:43:17,793 main.py:52] epoch 1, training loss: 32746.91, average training loss: 37230.04, base loss: 15849.46
[INFO 2017-07-01 18:43:21,272 main.py:52] epoch 2, training loss: 28414.40, average training loss: 34291.49, base loss: 15426.84
[INFO 2017-07-01 18:43:24,703 main.py:52] epoch 3, training loss: 24347.02, average training loss: 31805.37, base loss: 15467.67
[INFO 2017-07-01 18:43:28,120 main.py:52] epoch 4, training loss: 21492.15, average training loss: 29742.73, base loss: 15336.94
[INFO 2017-07-01 18:43:31,502 main.py:52] epoch 5, training loss: 17991.81, average training loss: 27784.24, base loss: 15102.63
[INFO 2017-07-01 18:43:34,916 main.py:52] epoch 6, training loss: 17110.50, average training loss: 26259.42, base loss: 15152.54
[INFO 2017-07-01 18:43:38,759 main.py:52] epoch 7, training loss: 17005.93, average training loss: 25102.74, base loss: 15248.47
[INFO 2017-07-01 18:43:43,013 main.py:52] epoch 8, training loss: 16942.35, average training loss: 24196.03, base loss: 15440.28
[INFO 2017-07-01 18:43:47,170 main.py:52] epoch 9, training loss: 15140.39, average training loss: 23290.46, base loss: 15538.42
[INFO 2017-07-01 18:43:51,348 main.py:52] epoch 10, training loss: 14006.04, average training loss: 22446.42, base loss: 15527.19
[INFO 2017-07-01 18:43:55,483 main.py:52] epoch 11, training loss: 11803.10, average training loss: 21559.48, base loss: 15287.07
[INFO 2017-07-01 18:43:59,667 main.py:52] epoch 12, training loss: 12553.29, average training loss: 20866.70, base loss: 15355.72
[INFO 2017-07-01 18:44:03,872 main.py:52] epoch 13, training loss: 12723.64, average training loss: 20285.05, base loss: 15438.03
[INFO 2017-07-01 18:44:08,019 main.py:52] epoch 14, training loss: 11700.71, average training loss: 19712.76, base loss: 15482.39
[INFO 2017-07-01 18:44:12,169 main.py:52] epoch 15, training loss: 10817.53, average training loss: 19156.81, base loss: 15448.88
[INFO 2017-07-01 18:44:16,315 main.py:52] epoch 16, training loss: 11575.62, average training loss: 18710.86, base loss: 15501.97
[INFO 2017-07-01 18:44:20,571 main.py:52] epoch 17, training loss: 10619.96, average training loss: 18261.36, base loss: 15472.19
[INFO 2017-07-01 18:44:24,812 main.py:52] epoch 18, training loss: 11673.63, average training loss: 17914.64, base loss: 15538.06
[INFO 2017-07-01 18:44:29,015 main.py:52] epoch 19, training loss: 11570.63, average training loss: 17597.44, base loss: 15578.12
[INFO 2017-07-01 18:44:33,200 main.py:52] epoch 20, training loss: 11003.40, average training loss: 17283.44, base loss: 15618.18
[INFO 2017-07-01 18:44:37,375 main.py:52] epoch 21, training loss: 11423.95, average training loss: 17017.10, base loss: 15645.41
[INFO 2017-07-01 18:44:41,512 main.py:52] epoch 22, training loss: 12210.66, average training loss: 16808.12, base loss: 15730.25
[INFO 2017-07-01 18:44:45,625 main.py:52] epoch 23, training loss: 11391.92, average training loss: 16582.45, base loss: 15751.77
[INFO 2017-07-01 18:44:49,881 main.py:52] epoch 24, training loss: 9006.91, average training loss: 16279.42, base loss: 15643.76
[INFO 2017-07-01 18:44:54,093 main.py:52] epoch 25, training loss: 9643.41, average training loss: 16024.19, base loss: 15602.86
[INFO 2017-07-01 18:44:58,204 main.py:52] epoch 26, training loss: 11554.07, average training loss: 15858.63, base loss: 15644.75
[INFO 2017-07-01 18:45:02,351 main.py:52] epoch 27, training loss: 10844.66, average training loss: 15679.56, base loss: 15646.55
[INFO 2017-07-01 18:45:06,482 main.py:52] epoch 28, training loss: 10425.85, average training loss: 15498.40, base loss: 15648.55
[INFO 2017-07-01 18:45:10,711 main.py:52] epoch 29, training loss: 10276.42, average training loss: 15324.33, base loss: 15644.67
[INFO 2017-07-01 18:45:14,783 main.py:52] epoch 30, training loss: 10135.11, average training loss: 15156.94, base loss: 15617.63
[INFO 2017-07-01 18:45:18,997 main.py:52] epoch 31, training loss: 9971.34, average training loss: 14994.89, base loss: 15581.69
[INFO 2017-07-01 18:45:23,181 main.py:52] epoch 32, training loss: 9139.45, average training loss: 14817.45, base loss: 15528.15
[INFO 2017-07-01 18:45:27,328 main.py:52] epoch 33, training loss: 10140.92, average training loss: 14679.91, base loss: 15509.12
[INFO 2017-07-01 18:45:31,499 main.py:52] epoch 34, training loss: 9921.71, average training loss: 14543.96, base loss: 15493.46
[INFO 2017-07-01 18:45:35,631 main.py:52] epoch 35, training loss: 11206.86, average training loss: 14451.26, base loss: 15510.21
[INFO 2017-07-01 18:45:39,853 main.py:52] epoch 36, training loss: 8896.43, average training loss: 14301.13, base loss: 15451.74
[INFO 2017-07-01 18:45:44,033 main.py:52] epoch 37, training loss: 10384.94, average training loss: 14198.07, base loss: 15444.12
[INFO 2017-07-01 18:45:48,253 main.py:52] epoch 38, training loss: 10621.73, average training loss: 14106.37, base loss: 15454.36
[INFO 2017-07-01 18:45:52,441 main.py:52] epoch 39, training loss: 9354.96, average training loss: 13987.59, base loss: 15419.91
[INFO 2017-07-01 18:45:56,606 main.py:52] epoch 40, training loss: 11786.07, average training loss: 13933.89, base loss: 15461.14
[INFO 2017-07-01 18:46:00,757 main.py:52] epoch 41, training loss: 10363.75, average training loss: 13848.89, base loss: 15465.09
[INFO 2017-07-01 18:46:04,970 main.py:52] epoch 42, training loss: 9635.31, average training loss: 13750.90, base loss: 15457.41
[INFO 2017-07-01 18:46:09,046 main.py:52] epoch 43, training loss: 11391.93, average training loss: 13697.28, base loss: 15490.39
[INFO 2017-07-01 18:46:13,206 main.py:52] epoch 44, training loss: 10023.29, average training loss: 13615.64, base loss: 15492.46
[INFO 2017-07-01 18:46:17,342 main.py:52] epoch 45, training loss: 9637.05, average training loss: 13529.15, base loss: 15478.72
[INFO 2017-07-01 18:46:21,467 main.py:52] epoch 46, training loss: 9253.49, average training loss: 13438.18, base loss: 15451.06
[INFO 2017-07-01 18:46:25,602 main.py:52] epoch 47, training loss: 8568.00, average training loss: 13336.72, base loss: 15407.61
[INFO 2017-07-01 18:46:29,818 main.py:52] epoch 48, training loss: 11896.04, average training loss: 13307.31, base loss: 15446.27
[INFO 2017-07-01 18:46:34,004 main.py:52] epoch 49, training loss: 11926.51, average training loss: 13279.70, base loss: 15492.36
[INFO 2017-07-01 18:46:38,128 main.py:52] epoch 50, training loss: 9275.56, average training loss: 13201.19, base loss: 15460.80
[INFO 2017-07-01 18:46:42,391 main.py:52] epoch 51, training loss: 11070.92, average training loss: 13160.22, base loss: 15483.17
[INFO 2017-07-01 18:46:46,578 main.py:52] epoch 52, training loss: 11497.34, average training loss: 13128.84, base loss: 15515.49
[INFO 2017-07-01 18:46:50,726 main.py:52] epoch 53, training loss: 9999.43, average training loss: 13070.89, base loss: 15510.23
[INFO 2017-07-01 18:46:54,847 main.py:52] epoch 54, training loss: 9795.48, average training loss: 13011.34, base loss: 15500.01
[INFO 2017-07-01 18:46:59,017 main.py:52] epoch 55, training loss: 10832.76, average training loss: 12972.44, base loss: 15513.50
[INFO 2017-07-01 18:47:03,281 main.py:52] epoch 56, training loss: 10488.83, average training loss: 12928.86, base loss: 15508.00
[INFO 2017-07-01 18:47:07,467 main.py:52] epoch 57, training loss: 9956.56, average training loss: 12877.62, base loss: 15503.40
[INFO 2017-07-01 18:47:11,585 main.py:52] epoch 58, training loss: 9481.20, average training loss: 12820.05, base loss: 15487.46
[INFO 2017-07-01 18:47:15,779 main.py:52] epoch 59, training loss: 10314.61, average training loss: 12778.29, base loss: 15485.43
[INFO 2017-07-01 18:47:19,955 main.py:52] epoch 60, training loss: 8877.96, average training loss: 12714.35, base loss: 15467.69
[INFO 2017-07-01 18:47:24,110 main.py:52] epoch 61, training loss: 10023.28, average training loss: 12670.95, base loss: 15461.25
[INFO 2017-07-01 18:47:28,304 main.py:52] epoch 62, training loss: 9716.66, average training loss: 12624.06, base loss: 15455.79
[INFO 2017-07-01 18:47:32,473 main.py:52] epoch 63, training loss: 9571.63, average training loss: 12576.36, base loss: 15438.22
[INFO 2017-07-01 18:47:36,779 main.py:52] epoch 64, training loss: 10235.79, average training loss: 12540.35, base loss: 15439.51
[INFO 2017-07-01 18:47:40,934 main.py:52] epoch 65, training loss: 9510.44, average training loss: 12494.44, base loss: 15428.84
[INFO 2017-07-01 18:47:45,127 main.py:52] epoch 66, training loss: 9693.71, average training loss: 12452.64, base loss: 15420.56
[INFO 2017-07-01 18:47:49,317 main.py:52] epoch 67, training loss: 10433.21, average training loss: 12422.95, base loss: 15441.61
[INFO 2017-07-01 18:47:53,538 main.py:52] epoch 68, training loss: 9253.41, average training loss: 12377.01, base loss: 15428.19
[INFO 2017-07-01 18:47:57,675 main.py:52] epoch 69, training loss: 9296.11, average training loss: 12333.00, base loss: 15415.78
[INFO 2017-07-01 18:48:01,864 main.py:52] epoch 70, training loss: 9853.05, average training loss: 12298.07, base loss: 15413.19
[INFO 2017-07-01 18:48:06,024 main.py:52] epoch 71, training loss: 8945.41, average training loss: 12251.50, base loss: 15392.37
[INFO 2017-07-01 18:48:10,200 main.py:52] epoch 72, training loss: 10662.69, average training loss: 12229.74, base loss: 15408.24
[INFO 2017-07-01 18:48:14,321 main.py:52] epoch 73, training loss: 9467.03, average training loss: 12192.40, base loss: 15398.89
[INFO 2017-07-01 18:48:18,434 main.py:52] epoch 74, training loss: 9154.50, average training loss: 12151.90, base loss: 15392.00
